model,fold_kind,fold,target,n_train,n_test,r2,predictors
climate predicts morphology,region,1,morph_pc2,147651,89584,0.009360494942816877,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,1,morph_pc3,147651,89584,0.0005094621509419417,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,2,morph_pc1,192452,44783,0.44597116905903333,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,2,morph_pc2,192452,44783,0.1060163797351733,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,2,morph_pc3,192452,44783,0.0010608795382831548,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,3,morph_pc1,178339,58896,0.48031477526157695,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,3,morph_pc2,178339,58896,0.07145047080401346,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,3,morph_pc3,178339,58896,-0.001790165187812276,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
morphology predicts climate,region,0,mean_maximum_temperature_c,193263,43972,-0.02953693129613333,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,0,mean_minimum_temperature_c,193263,43972,-0.10885856905361102,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,0,mean_vpd_kpa,193263,43972,-0.6359779710077675,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,0,max_vpd_kpa,193263,43972,-0.7002326673273007,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,0,mean_wind_speed_m_s,193263,43972,-0.043943839703173726,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,0,wind_present_fraction,193263,43972,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,1,mean_maximum_temperature_c,147651,89584,-0.0324285881580233,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,1,mean_minimum_temperature_c,147651,89584,-0.08057881663475497,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,1,mean_vpd_kpa,147651,89584,-0.05739348978058656,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,1,max_vpd_kpa,147651,89584,-4.8495606272069836e-05,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,1,mean_wind_speed_m_s,147651,89584,-0.006922125398658885,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,1,wind_present_fraction,147651,89584,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,2,mean_maximum_temperature_c,192452,44783,-0.0441033949287426,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,2,mean_minimum_temperature_c,192452,44783,-0.2789193310840461,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,2,mean_vpd_kpa,192452,44783,-0.07716730898180879,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,2,max_vpd_kpa,192452,44783,-0.0043083705697262165,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,2,mean_wind_speed_m_s,192452,44783,-0.1932163415272039,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,2,wind_present_fraction,192452,44783,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,3,mean_maximum_temperature_c,178339,58896,-0.009741497293944468,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,3,mean_minimum_temperature_c,178339,58896,-0.04753056591940563,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,3,mean_vpd_kpa,178339,58896,-0.032371855110453485,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,3,max_vpd_kpa,178339,58896,0.029910622584240487,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,3,mean_wind_speed_m_s,178339,58896,-0.3081116473305585,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,region,3,wind_present_fraction,178339,58896,,"morph_pc1,morph_pc2,morph_pc3"
climate predicts morphology,year_block,0,morph_pc1,185382,51853,0.477783350134112,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,0,morph_pc2,185382,51853,0.045040444361873155,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,0,morph_pc3,185382,51853,0.0004896483097934778,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,1,morph_pc1,188048,49187,0.48401063321027893,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,1,morph_pc2,188048,49187,0.07478096091559627,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,1,morph_pc3,188048,49187,0.0012769236598342282,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,2,morph_pc1,189410,47825,0.5100497463372875,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,2,morph_pc2,189410,47825,0.045765935945406455,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,2,morph_pc3,189410,47825,-0.001234656371245313,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,3,morph_pc1,189308,47927,0.5585509503167989,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,3,morph_pc2,189308,47927,0.06250073518019705,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,3,morph_pc3,189308,47927,0.001049513678222369,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,4,morph_pc1,196792,40443,0.5245318494770118,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,4,morph_pc2,196792,40443,0.07279063402641195,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,year_block,4,morph_pc3,196792,40443,0.000814045060517854,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
morphology predicts climate,year_block,0,mean_maximum_temperature_c,185382,51853,0.001489115003375563,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,0,mean_minimum_temperature_c,185382,51853,0.00011351607379228579,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,0,mean_vpd_kpa,185382,51853,0.001953809552480701,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,0,max_vpd_kpa,185382,51853,0.05771682406580503,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,0,mean_wind_speed_m_s,185382,51853,-0.00315473514853859,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,0,wind_present_fraction,185382,51853,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,1,mean_maximum_temperature_c,188048,49187,-0.005285574208747645,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,1,mean_minimum_temperature_c,188048,49187,-0.0041842756389698366,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,1,mean_vpd_kpa,188048,49187,0.0019052266651075067,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,1,max_vpd_kpa,188048,49187,0.06644425764851492,"morph_pc1,morph_pc2,morph_pc3"
