fire_id_a,fire_id_b,climate_distance,morphology_distance
331004,360188,3.5705620597326795,0.0
158840,348026,4.017837212527801,0.0
167209,327821,3.741502934196987,0.0
276962,376217,4.528140318419897,0.3193701559199764
359946,47962,5.979958895703008,0.0
247393,365009,8.016100725633791,0.16980028141659498
190265,54159,4.604347192075491,0.0
348831,198842,4.870068479489155,0.0
273066,382932,4.2401694419043094,0.0
173242,254700,4.752311049361496,0.07574238711307775
148670,167829,4.109959392439598,0.0
390100,130941,3.2735375949452847,0.1723769353087252
187750,167829,5.4865708131237225,0.0
433727,167829,4.391613540021884,0.0
71657,165783,3.6043672385201684,0.18745793129738073
9589,259293,3.488671873897083,0.0
228486,143290,4.802885263933021,0.21910670076395705
46651,360188,3.9217646994605033,0.0
25342,98275,5.138899725719358,0.0
325825,397412,4.405175977095447,0.0
376442,211138,4.938966304279684,0.0
42982,372165,4.626199597338447,0.0
92519,345227,7.767390067501281,0.0
174349,211138,5.332850477304594,0.0
440065,167829,4.297789342774523,0.0
5971,98275,4.008474123314012,0.0
221396,166313,6.065420665649511,0.22982957588508449
277453,159716,2.9043424558282513,0.879969548681436
13721,360188,3.6485059613172375,0.0
412483,327821,4.3559306449044115,0.0
283596,192248,6.616006145086732,0.0
359065,167829,3.631987486793068,0.0
124976,131812,5.4484376739975895,0.2448613687891618
51387,116927,3.2248923371309743,0.0
137089,6928,2.7656704785358306,0.270973563700313
396087,360188,4.836290973613483,0.0
370537,397412,3.948918643697207,0.0
171916,85963,4.133384034724231,0.0
6592,397412,5.2121975804143625,0.0
305062,211138,3.9489136464144132,0.0
138986,210978,6.591726238322061,0.16628749475945165
77340,360188,5.047345556720785,0.0
167550,360188,3.2340751097730926,0.0
364526,397412,4.03159349531859,0.0
12776,167829,3.476663451127257,0.0
253934,397412,4.188700604489481,0.0
199067,7087,4.412381997311549,0.0
426464,320585,4.085444748015914,0.0
411981,327821,5.0825771890016815,0.0
306063,167829,4.409717915147415,0.0
5925,382024,3.764090425494684,0.16391737377547969
159026,147733,4.045544808590423,0.3723265058044989
443992,211138,4.42341751616122,0.0
402,211138,4.356746666888026,0.0
168607,397412,5.340508931290358,0.0
392529,397412,4.972773486956128,0.0
245461,347235,3.596887360605484,0.0
344279,211138,4.750204085947058,0.0
351488,167829,6.276357412646505,0.0
396310,47045,8.145375039690412,0.16628749475945082
94047,167157,5.429611629683588,0.07718451331371788
53444,279744,3.3727681450621634,0.18741437930486826
249120,254080,4.771619971959045,0.12486882131084502
297358,397412,5.074864190103902,0.0
269808,397412,4.214775907476721,0.0
1841,429827,5.0748279719108655,0.0
349988,360188,4.827720039624748,0.0
199576,428689,6.674387990692112,0.05103551964770186
155440,255947,4.740408964134933,0.1199777761640196
342121,237885,4.421573746560689,0.1713803976532733
274116,132941,3.183269920947361,0.0
168751,397412,5.466594247143037,0.0
103325,381628,4.2127537458811215,0.2507700844666115
146511,338426,5.044143592242997,0.0
359188,254022,3.6958402202210197,0.0
98394,393879,4.9101141436454565,0.10330149987315737
181319,146513,3.5139400717359406,0.3988489529624267
87461,429017,8.338580850032562,0.0
169390,351910,6.3862647483663615,0.0
419585,44709,4.733595881713254,0.15942700257826115
8281,397412,7.48347858646814,0.0
263491,258329,3.6226953311884436,0.0
266166,286907,3.710963474536229,0.21164610532539269
289683,382932,3.6625132751200136,0.0
108233,247813,4.102042989336725,0.0
370602,397412,3.906330649395935,0.0
342072,167829,5.080735487262914,0.0
118877,167829,4.8724471948056305,0.0
241791,435916,4.453371772186828,0.0
106307,154939,4.477889275725425,0.0
400888,145905,4.6062549467055165,0.0
392907,167829,4.3804667259492,0.0
411911,161168,6.037723882955116,0.0
258271,256400,6.856464218256681,0.0
129439,40313,7.210970425593656,0.13466907022365254
23718,228572,4.297897311902335,0.0
266556,211138,4.995885483959083,0.0
352118,397412,4.469532285429456,0.0
77783,211138,4.591249336798679,0.0
451,165682,5.041151977274546,0.16628749475945145
4700,422625,5.274910626791498,0.0
357229,279991,5.562343703455774,0.21861244905657815
41418,434742,5.022102346512335,0.0
306968,135110,4.628343160448782,0.0
353249,360188,4.21903222337197,0.0
82987,360188,3.732457746437322,0.0
152677,167829,3.520343302369991,0.0
134930,189876,4.248437364766288,0.0
432687,143866,3.6227843416430967,0.0
156683,360188,3.7030616126259446,0.0
96201,209534,6.423547433479005,0.0
158919,167829,6.523417886912008,0.0
23057,8209,4.411317935556849,0.0
417173,170938,3.3809193422236348,0.0
200335,6006,4.3362385790665625,0.0
383479,211138,4.71356636507475,0.0
266882,167829,5.739406761082858,0.0
202738,33172,5.226838288144626,0.0
344492,333701,3.6139793119625723,0.13648997369258836
402934,382932,4.799052694878664,0.0
389679,360188,4.649193385302812,0.0
333394,298998,4.21762007335497,0.0
19212,228706,5.083003077051881,0.0
375799,255722,5.536901166789821,0.11648418085216516
12595,255947,5.361696350156824,0.11245891639337012
270391,45119,4.6936681963527045,0.0
126935,397412,4.754707360224977,0.0
280915,397412,5.66606225618808,0.0
11005,360188,4.118090670336484,0.0
303580,180524,5.23383900648355,0.10915777443357763
326555,381677,5.650799489371511,0.1389321156946479
123202,276720,3.9406623962512963,0.0
81498,397412,3.8237930457788902,0.0
1362,191960,5.49376025204839,0.0
424008,397412,3.425598147664598,0.0
91260,254502,6.093815688583663,0.13261772016424717
39217,211138,5.242587168048367,0.0
182435,167829,3.403865143891241,0.0
262652,279121,3.895812108352506,0.18298315155366598
185324,79678,4.2630002431761005,0.04182534889073911
182826,234951,4.864973337044116,0.1599810440715381
327748,436186,4.934781968859767,0.16271910746914967
378845,393522,4.047064177499878,0.3057499936485847
54974,167829,4.881459814621358,0.0
370994,397412,3.4822651403199334,0.0
251951,257203,6.4761981246214155,0.38559645938971604
431692,108638,4.04640221672618,0.0
21896,424951,5.417268333259444,0.08028248337762556
52810,211138,4.697316935112251,0.0
337024,409745,3.7990615427162258,0.15605023534057516
198229,360188,5.221875019968627,0.0
283705,167829,5.8198986382994375,0.0
151838,327821,4.579975099466204,0.0
28612,211138,5.090951105341292,0.0
221419,167829,3.991663406462178,0.0
71877,360188,4.230569336108697,0.0
396461,9454,4.141493096563093,0.0
427418,360188,3.511154498769092,0.0
411236,254025,3.863018024278225,0.10538645895284678
97124,397412,3.830166987525419,0.0
434228,98275,6.645512344094647,0.0
301877,322950,3.3013000747001544,0.0
189185,360188,5.0327657053258505,0.0
133011,167829,5.74389644025762,0.0
435296,191960,6.204257474635864,0.0
288858,216635,3.7587062088817866,0.15416622593789353
276679,420546,3.0688969541934443,0.0
85771,167829,5.510210431694935,0.0
213380,397412,3.7854868791218514,0.0
302363,227991,2.8898311220250585,0.08873595637583735
142167,397412,3.6243632271000545,0.0
355469,253485,3.001465615943108,0.18256063257844474
399078,239461,2.6654306539975683,0.0
83352,425033,3.698228824995342,0.0
130618,327821,4.690317134959358,0.0
82677,305902,3.605512734743218,0.0
148082,191497,6.496306420143875,0.2292149339805114
395381,125879,3.9319119171588826,0.0
108989,397412,3.6979927947296867,0.0
214181,397412,4.482584296535917,0.0
405744,277634,3.9487231108000005,0.0
29693,273430,5.995367886466293,0.0
416736,167829,4.4226200010450665,0.0
387528,420357,5.046756323861239,0.0
424679,167829,6.086528458204635,0.0
85710,167829,5.349413714534494,0.0
287349,347235,4.6175456595687,0.0
254976,228789,6.352626550189377,0.0
177015,382932,3.9024000211964363,0.0
235922,397412,5.759025669484868,0.0
257908,52509,4.10468609288439,0.10215043106606653
414674,397412,4.994110584498259,0.0
88937,360188,3.718006617227839,0.0
395393,167829,3.8595371244521814,0.0
352078,228530,4.195801479376671,0.1704362394964876
179066,236824,5.494699100736126,0.0
377289,360188,4.250936095133574,0.0
393010,360188,4.913285336537953,0.0
146321,441233,4.808208938682816,0.0
32911,211138,4.792677230448393,0.0
172817,360188,4.622243370162941,0.0
244770,169714,4.895779712944276,0.1361688020202015
235458,397412,7.1029746934795375,0.0
149622,360188,4.81688210605634,0.0
18183,254700,4.435956245320609,0.07574238711307775
82745,397412,4.342254878191936,0.0
110334,360188,3.9429756335253483,0.0
27581,148100,3.4491907998015914,0.15093595118124414
50551,360188,3.4647256834232345,0.0
116483,235160,4.871574077289795,0.2986482251897067
233390,360188,3.5976947552226473,0.0
379807,238862,4.661678383298941,0.0
88123,237718,5.13664772410483,0.3359932068255558
86358,234660,4.73826713810055,0.164286391733529
276093,382932,6.582971965298986,0.0
48533,33120,4.094646660951021,0.0
93850,238136,4.316757112454717,0.0
22796,435874,4.516188510180573,0.0
42905,397412,5.288881832114239,0.0
179347,228693,4.866920357576891,0.25156996556955674
388172,256314,6.486121139804585,0.0
142219,228926,3.5979181678143113,0.0
225247,9314,3.335021624322782,0.5232858258995292
22515,286874,4.141752622303277,0.0
376381,147231,5.738583175961551,0.107292074753848
416435,98275,7.115185831380794,0.0
149347,29749,3.620952965514228,0.1289826015348466
413736,307804,3.285233909482785,0.11909784840481072
301148,228789,5.536445792298333,0.0
419459,211138,4.580956044646017,0.0
122114,167829,4.009604420666322,0.0
113785,211138,4.090448679221464,0.0
112509,211138,4.166869087841477,0.0
170682,216194,4.560300445048964,0.0
337147,360188,4.4245217964942665,0.0
113344,167829,3.743396849852652,0.0
100479,360188,3.7694278528444487,0.0
290541,160640,3.1587672268611,0.0
335197,294809,4.229891993034451,0.0
43483,327821,4.255198406647527,0.0
241641,255701,3.5116377191618717,0.13312120790082835
410886,360188,4.538724331685067,0.0
188084,381436,3.290349852079866,0.061671722469376286
355074,98275,4.630442445342406,0.0
180168,256358,7.050720734108891,0.0
179505,167829,4.4061830382027365,0.0
239687,238798,5.610629101753206,0.11051281266990548
425385,97989,6.743414672159406,0.0
328859,397412,4.271760072659784,0.0
192321,327821,5.235501352478815,0.0
327430,360188,4.677406110125187,0.0
217347,397412,4.9035589285979295,0.0
288786,92679,3.8380344271282167,0.07109161994196868
367263,425024,3.3679763824319964,0.21501638125019212
149805,167829,3.990279219023051,0.0
297476,397412,6.198318778394551,0.0
241418,167829,3.9490595456265343,0.0
434779,211138,6.797333634099901,0.0
4811,327821,5.518182515264287,0.0
247822,256352,6.215598702781957,0.21532950170454973
179124,238312,4.628537108251466,0.0
148374,397412,6.787760657270828,0.0
249069,211138,4.735031980882267,0.0
149600,167829,4.348379200853185,0.0
236178,397412,7.102848402771749,0.0
339103,254222,6.4856635897393415,0.2874417196991132
336387,279350,3.0118456912112417,0.6736957438110391
23104,378783,4.1309109154277355,0.0
56065,167829,3.653199001455968,0.0
140905,360188,4.093424473427252,0.0
399877,167829,6.449998069493764,0.0
218536,176533,3.367343135940256,0.0
31040,344073,6.794285211833066,0.1361688020202025
155848,191960,6.003143504402702,0.0
371828,327821,4.576196259292524,0.0
172990,275012,4.162281534273048,0.0
291041,327821,4.483172694553999,0.0
360371,104799,3.9844458743148996,0.10310596434565514
372881,397412,3.71885117298911,0.0
132417,442554,4.265454876713917,0.21310634966042807
356911,395466,4.5748786640273815,0.12898260153484734
130649,175234,6.18836404450334,0.0
272905,344073,3.9218756214047055,0.0
420526,167829,3.747116466273475,0.0
135252,310985,4.95983345266421,0.0
372748,397412,4.109029873806664,0.0
331946,302671,2.936103773666966,0.0
58471,101780,4.011026126585131,0.0
82814,360188,3.8942489244052725,0.0
217993,148200,4.537677806397435,0.2762514164438983
