fire_id,anchor_event_type,anchor_observation_index,lag_observations,lag_days,activity_value,developmental_state,tmmx_c,tmmx_c_z_within_fire,tmmx_c_change,tmmn_c,tmmn_c_z_within_fire,tmmn_c_change,vpd_kpa,vpd_kpa_z_within_fire,vpd_kpa_change,wind_speed_m_s,wind_speed_m_s_z_within_fire,wind_speed_m_s_change
2445,final meaningful expansion,5,-1,-1.0,1.0732933664843187,major expansion,22.55000000000001,-0.5765566601970585,0.8000000000000114,7.75,-0.6381935536670522,-3.400000000000034,1.0,0.10435457309126223,0.16999999999999993,4.6000000000000005,0.5175331807157857,1.2000000000000002
2445,final meaningful expansion,5,0,0.0,0.6439760198905912,active expansion,24.150000000000034,0.2620712091804866,1.6000000000000227,6.25,-1.170021515056257,-1.5,1.07,0.553881964869008,0.07000000000000006,5.300000000000001,1.0858049085605699,0.7000000000000002
2445,final meaningful expansion,5,1,1.0,0.2146586732968637,quiescence,25.55000000000001,0.9958705948858163,1.3999999999999773,12.850000000000023,1.1700215150562518,6.600000000000023,1.22,1.5171549472498902,0.1499999999999999,4.2,0.19280647909019447,-1.1000000000000005
2445,final meaningful expansion,5,2,2.0,0.2146586732968637,quiescence,25.350000000000023,0.8910421112136305,-0.19999999999998863,10.650000000000034,0.39000717168542237,-2.1999999999999886,1.16,1.1318457542975369,-0.06000000000000005,5.9,1.572894960998956,1.7000000000000002
2445,transition into geometric quiescence,6,-3,-3.0,0.2146586732968637,low activity,21.75,-0.9958705948858312,-2.0,11.150000000000034,0.5672831588151572,2.1999999999999886,0.8300000000000001,-0.9873548069404046,0.040000000000000036,3.4000000000000004,-0.45664692416098723,0.40000000000000036
2445,transition into geometric quiescence,6,-2,-2.0,1.0732933664843187,major expansion,22.55000000000001,-0.5765566601970585,0.8000000000000114,7.75,-0.6381935536670522,-3.400000000000034,1.0,0.10435457309126223,0.16999999999999993,4.6000000000000005,0.5175331807157857,1.2000000000000002
2445,transition into geometric quiescence,6,-1,-1.0,0.6439760198905912,active expansion,24.150000000000034,0.2620712091804866,1.6000000000000227,6.25,-1.170021515056257,-1.5,1.07,0.553881964869008,0.07000000000000006,5.300000000000001,1.0858049085605699,0.7000000000000002
2445,transition into geometric quiescence,6,0,0.0,0.2146586732968637,quiescence,25.55000000000001,0.9958705948858163,1.3999999999999773,12.850000000000023,1.1700215150562518,6.600000000000023,1.22,1.5171549472498902,0.1499999999999999,4.2,0.19280647909019447,-1.1000000000000005
2445,transition into geometric quiescence,6,1,1.0,0.2146586732968637,quiescence,25.350000000000023,0.8910421112136305,-0.19999999999998863,10.650000000000034,0.39000717168542237,-2.1999999999999886,1.16,1.1318457542975369,-0.06000000000000005,5.9,1.572894960998956,1.7000000000000002
2445,terminal observed record,7,-3,-3.0,1.0732933664843187,major expansion,22.55000000000001,-0.5765566601970585,0.8000000000000114,7.75,-0.6381935536670522,-3.400000000000034,1.0,0.10435457309126223,0.16999999999999993,4.6000000000000005,0.5175331807157857,1.2000000000000002
2445,terminal observed record,7,-2,-2.0,0.6439760198905912,active expansion,24.150000000000034,0.2620712091804866,1.6000000000000227,6.25,-1.170021515056257,-1.5,1.07,0.553881964869008,0.07000000000000006,5.300000000000001,1.0858049085605699,0.7000000000000002
2445,terminal observed record,7,-1,-1.0,0.2146586732968637,quiescence,25.55000000000001,0.9958705948858163,1.3999999999999773,12.850000000000023,1.1700215150562518,6.600000000000023,1.22,1.5171549472498902,0.1499999999999999,4.2,0.19280647909019447,-1.1000000000000005
2445,terminal observed record,7,0,0.0,0.2146586732968637,quiescence,25.350000000000023,0.8910421112136305,-0.19999999999998863,10.650000000000034,0.39000717168542237,-2.1999999999999886,1.16,1.1318457542975369,-0.06000000000000005,5.9,1.572894960998956,1.7000000000000002
6833,first observed perimeter,0,0,0.0,0.2146586732968637,low activity,31.150000000000034,1.2901583468733466,,11.75,0.7337618279644227,,2.2800000000000002,1.1450331811905665,,2.4000000000000004,-1.260482001653261,
6833,first observed perimeter,0,1,1.0,0.8586346931874548,low activity,31.450000000000045,1.4385836434163033,0.30000000000001137,13.850000000000023,1.640173497802848,2.1000000000000227,2.36,1.5005061687840535,0.07999999999999963,2.2,-1.5667673478493809,-0.20000000000000018
6833,first observed perimeter,0,2,2.0,0.4293173465937274,low activity,30.75,1.0922579514827284,-0.7000000000000455,13.25,1.3811987349918622,-0.6000000000000227,2.19,0.7451260701478903,-0.16999999999999993,2.8000000000000003,-0.6479113092610219,0.6000000000000001
6833,first observed perimeter,0,3,4.0,2.361245406265501,low activity,28.05000000000001,-0.24356971740382494,-2.6999999999999886,10.050000000000011,-3.8335965929277875e-15,-3.1999999999999886,1.93,-0.41016113953094807,-0.26,3.5,0.4240874024253962,0.6999999999999997
6833,expansion pulse,5,-3,-4.0,0.4293173465937274,low activity,30.75,1.0922579514827284,-0.7000000000000455,13.25,1.3811987349918622,-0.6000000000000227,2.19,0.7451260701478903,-0.16999999999999993,2.8000000000000003,-0.6479113092610219,0.6000000000000001
6833,expansion pulse,5,-2,-2.0,2.361245406265501,low activity,28.05000000000001,-0.24356971740382494,-2.6999999999999886,10.050000000000011,-3.8335965929277875e-15,-3.1999999999999886,1.93,-0.41016113953094807,-0.26,3.5,0.4240874024253962,0.6999999999999997
6833,expansion pulse,5,-1,-1.0,21.8951846762801,active expansion,29.05000000000001,0.2511812710726784,1.0,12.25,0.9495741303069025,2.1999999999999886,2.2,0.7895601935970775,0.27000000000000024,3.2,-0.035340616868782905,-0.2999999999999998
6833,expansion pulse,5,0,0.0,50.8741055713567,major expansion,27.350000000000023,-0.5898954093373716,-1.6999999999999886,9.650000000000034,-0.1726498418739779,-2.599999999999966,1.86,-0.72120000367525,-0.3400000000000001,2.9000000000000004,-0.494768636162962,-0.2999999999999998
6833,expansion pulse,5,1,1.0,28.9789208950766,major expansion,29.05000000000001,0.2511812710726784,1.6999999999999886,9.850000000000023,-0.08632492093699086,0.19999999999998863,2.04,0.07861421841009937,0.17999999999999994,3.4000000000000004,0.27094472932733693,0.5
6833,expansion pulse,5,2,2.0,8.58634693187455,quiescence,28.650000000000034,0.0532808756820883,-0.39999999999997726,9.650000000000034,-0.1726498418739779,-0.19999999999998863,2.0300000000000002,0.03418009496091423,-0.009999999999999787,3.0,-0.3416259630649028,-0.40000000000000036
6833,expansion pulse,5,3,3.0,3.434538772749819,quiescence,30.150000000000034,0.7954073583968433,1.5,10.450000000000045,0.17264984187399476,0.8000000000000114,2.27,1.1005990577413793,0.23999999999999977,2.7,-0.8010539823590819,-0.2999999999999998
6833,peak expansion,5,-3,-4.0,0.4293173465937274,low activity,30.75,1.0922579514827284,-0.7000000000000455,13.25,1.3811987349918622,-0.6000000000000227,2.19,0.7451260701478903,-0.16999999999999993,2.8000000000000003,-0.6479113092610219,0.6000000000000001
6833,peak expansion,5,-2,-2.0,2.361245406265501,low activity,28.05000000000001,-0.24356971740382494,-2.6999999999999886,10.050000000000011,-3.8335965929277875e-15,-3.1999999999999886,1.93,-0.41016113953094807,-0.26,3.5,0.4240874024253962,0.6999999999999997
6833,peak expansion,5,-1,-1.0,21.8951846762801,active expansion,29.05000000000001,0.2511812710726784,1.0,12.25,0.9495741303069025,2.1999999999999886,2.2,0.7895601935970775,0.27000000000000024,3.2,-0.035340616868782905,-0.2999999999999998
6833,peak expansion,5,0,0.0,50.8741055713567,major expansion,27.350000000000023,-0.5898954093373716,-1.6999999999999886,9.650000000000034,-0.1726498418739779,-2.599999999999966,1.86,-0.72120000367525,-0.3400000000000001,2.9000000000000004,-0.494768636162962,-0.2999999999999998
6833,peak expansion,5,1,1.0,28.9789208950766,major expansion,29.05000000000001,0.2511812710726784,1.6999999999999886,9.850000000000023,-0.08632492093699086,0.19999999999998863,2.04,0.07861421841009937,0.17999999999999994,3.4000000000000004,0.27094472932733693,0.5
6833,peak expansion,5,2,2.0,8.58634693187455,quiescence,28.650000000000034,0.0532808756820883,-0.39999999999997726,9.650000000000034,-0.1726498418739779,-0.19999999999998863,2.0300000000000002,0.03418009496091423,-0.009999999999999787,3.0,-0.3416259630649028,-0.40000000000000036
6833,peak expansion,5,3,3.0,3.434538772749819,quiescence,30.150000000000034,0.7954073583968433,1.5,10.450000000000045,0.17264984187399476,0.8000000000000114,2.27,1.1005990577413793,0.23999999999999977,2.7,-0.8010539823590819,-0.2999999999999998
6833,final meaningful expansion,6,-3,-3.0,2.361245406265501,low activity,28.05000000000001,-0.24356971740382494,-2.6999999999999886,10.050000000000011,-3.8335965929277875e-15,-3.1999999999999886,1.93,-0.41016113953094807,-0.26,3.5,0.4240874024253962,0.6999999999999997
6833,final meaningful expansion,6,-2,-2.0,21.8951846762801,active expansion,29.05000000000001,0.2511812710726784,1.0,12.25,0.9495741303069025,2.1999999999999886,2.2,0.7895601935970775,0.27000000000000024,3.2,-0.035340616868782905,-0.2999999999999998
6833,final meaningful expansion,6,-1,-1.0,50.8741055713567,major expansion,27.350000000000023,-0.5898954093373716,-1.6999999999999886,9.650000000000034,-0.1726498418739779,-2.599999999999966,1.86,-0.72120000367525,-0.3400000000000001,2.9000000000000004,-0.494768636162962,-0.2999999999999998
6833,final meaningful expansion,6,0,0.0,28.9789208950766,major expansion,29.05000000000001,0.2511812710726784,1.6999999999999886,9.850000000000023,-0.08632492093699086,0.19999999999998863,2.04,0.07861421841009937,0.17999999999999994,3.4000000000000004,0.27094472932733693,0.5
6833,final meaningful expansion,6,1,1.0,8.58634693187455,quiescence,28.650000000000034,0.0532808756820883,-0.39999999999997726,9.650000000000034,-0.1726498418739779,-0.19999999999998863,2.0300000000000002,0.03418009496091423,-0.009999999999999787,3.0,-0.3416259630649028,-0.40000000000000036
6833,final meaningful expansion,6,2,2.0,3.434538772749819,quiescence,30.150000000000034,0.7954073583968433,1.5,10.450000000000045,0.17264984187399476,0.8000000000000114,2.27,1.1005990577413793,0.23999999999999977,2.7,-0.8010539823590819,-0.2999999999999998
