fire_id,final_area_km2,duration_days,observation_count,peak_newly_added_area_km2,maximum_proportional_growth,relative_time_of_peak_growth,number_of_growth_pulses,pulse_prominence_km2,terminal_width_km,terminal_width_fraction_of_max,terminal_taper_slope_km_per_obs,observations_between_peak_growth_and_terminal,asymmetry_expansion_decline,climate_range_c,climate_trajectory_length_c,climate_change_terminal_window_c,geometric_trajectory_length_km2,terminal_value_tmmx_c,previous_value_tmmx_c,terminal_change_tmmx_c,terminal_window_mean_tmmx_c,terminal_window_slope_tmmx_c_per_obs,terminal_window_variance_tmmx_c,lifetime_mean_tmmx_c,active_growth_period_mean_tmmx_c,within_fire_terminal_z_tmmx,terminal_percentile_within_fire_tmmx,terminal_growth_km2,terminal_growth_fraction_of_peak,qc_class
18606,1.7172693863749096,14,7,0.4293173465937274,0.25,0.38461538461538464,1,0.2146586732968637,0.6580515544596587,0.393272468853167,8.665610691993441e-17,3,1.9999999953414416,7.400000000000034,20.60000000000008,7.400000000000034,0.4293173465937274,19.950000000000045,17.150000000000034,2.8000000000000114,16.55000000000003,3.7000000000000184,13.960000000000129,16.392857142857174,15.800000000000031,1.1666379196863097,1.0,0.2146586732968637,0.5,sequence gap near ending
19752,10.518274991546322,14,11,2.361245406265501,0.22448979591836735,0.3076923076923077,3,1.5026107130780462,1.0386823956739486,0.15391518353457267,-1.474837131346372,6,3.2999999967855955,3.2999999999999545,8.899999999999977,2.599999999999966,8.371688258577684,28.05000000000001,28.75,-0.6999999999999886,27.416666666666686,1.2999999999999838,3.0233333333332513,27.25000000000002,27.170000000000023,0.8554581999190399,0.7727272727272727,0.4293173465937274,0.1818181818181818,sequence gap near ending
22518,261.23960540228313,14,14,65.47089535554343,0.25061626951520133,0.07692307692307693,4,50.230129551466106,23.41717917807542,0.3682533526156656,-5.303354005841414,12,4.071190211154963,10.0,23.799999999999955,-2.1999999999999886,243.4229355186434,35.950000000000045,37.55000000000001,-1.599999999999966,37.2166666666667,-1.099999999999993,1.2933333333333115,33.36428571428574,32.31363636363639,0.8304150298688721,0.75,0.6439760198905912,0.009836065573770493,probable cessation
22615,3.2198800994529555,14,6,1.2879520397811823,0.4,0.5384615384615384,1,1.0732933664843187,0.6580515544596587,0.24333542357087765,8.665610691993441e-17,3,5.999999976707208,13.599999999999966,21.399999999999977,3.0,2.146586732968637,34.05000000000001,30.75,3.3000000000000114,31.950000000000006,1.5000000000000018,3.3300000000000134,28.53333333333335,27.430000000000017,1.2916587559197703,1.0,0.2146586732968637,0.16666666666666666,sequence gap near ending
23942,2.5759040795623647,14,8,0.8586346931874548,0.3333333333333333,0.0,0,0.6439760198905911,0.6580515544596587,0.33429123030192515,8.665610691993441e-17,7,3.4999999898094036,9.099999999999966,18.399999999999864,-3.6999999999999886,0.6439760198905911,15.450000000000045,20.25,-4.7999999999999545,18.28333333333336,-1.8499999999999945,6.323333333333235,20.012500000000024,20.664285714285736,-1.714408757522651,0.125,0.2146586732968637,0.25,sequence gap near ending
24184,3.434538772749819,14,7,0.6439760198905912,0.18750000000000003,0.0,1,0.0,0.6580515544596587,0.3932724688528028,-3.31143843535318e-17,6,1.3846153837884214,10.699999999999989,16.699999999999932,-10.199999999999989,1.2879520397811823,17.350000000000023,20.05000000000001,-2.6999999999999886,21.650000000000016,-5.0999999999999925,27.92999999999995,24.664285714285736,25.883333333333354,-1.857757049917165,0.14285714285714285,0.2146586732968637,0.3333333333333333,sequence gap near ending
25068,1.2879520397811823,14,5,0.4293173465937274,0.3333333333333333,0.0,0,0.2146586732968637,0.6580515544596587,0.6335445341134859,8.665610691993441e-17,4,1.9999999953414416,8.0,20.300000000000068,-5.599999999999966,0.2146586732968637,29.650000000000034,37.650000000000034,-8.0,34.18333333333336,-2.7999999999999785,16.853333333333296,33.59000000000002,34.57500000000002,-1.266992379198746,0.2,0.2146586732968637,0.5,sequence gap near ending
25790,3.005221426156092,14,6,0.8586346931874548,0.2857142857142857,0.23076923076923078,2,0.4293173465937274,1.0386823956739486,0.33390851202597993,-1.0359986007380513,4,1.7777777761674116,10.199999999999989,19.299999999999955,-6.300000000000011,2.3612454062655006,16.05000000000001,17.55000000000001,-1.5,18.650000000000016,-3.1500000000000017,10.830000000000043,19.900000000000016,20.670000000000016,-1.0943934963132544,0.16666666666666666,0.4293173465937274,0.5,sequence gap near ending
30922,7.083736218796503,14,9,2.361245406265501,0.33333333333333337,0.5384615384615384,3,1.7172693863749098,1.3132746817939125,0.26304263328906186,-1.8396779243755237,5,3.9285714236989575,16.19999999999999,38.50000000000006,14.399999999999977,6.439760198905912,13.25,9.850000000000023,3.3999999999999773,7.3166666666666815,7.1999999999999895,56.653333333333194,3.516666666666683,2.3000000000000185,1.7605061893936884,1.0,0.6439760198905912,0.2727272727272727,sequence gap near ending
42013,88.86869074490157,14,13,29.837555588264056,0.33574879227053145,0.38461538461538464,3,25.32972344902992,3.375440259065248,0.18098234497627924,-4.233364767742284,8,5.124423962425295,8.899999999999977,34.89999999999998,-3.5,78.56507442665212,30.950000000000045,36.35000000000002,-5.399999999999977,33.91666666666671,-1.749999999999996,7.503333333333278,35.35769230769233,35.79000000000002,-1.5697982082046569,0.07692307692307693,0.4293173465937274,0.014388489208633093,sequence gap near ending
