fire_id,timestamp,observation_index,elapsed_days,time_to_end_days,relative_age,cumulative_area_km2,newly_added_area_km2,proportional_area_growth,perimeter_km,perimeter_change_km,compactness,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat,centroid_displacement_km,maximum_spatial_extent_km,vase_width_km,polygon_components,tmmx_c_nearest_grid_cell,climate_mean_c,climate_median_c,climate_sd_c,climate_min_c,climate_max_c,climate_newly_added_area_c,climate_cumulative_footprint_c,climate_advancing_boundary_c,climate_support_used,region,year,month,season,elevation,vegetation_or_landcover_class,final_fire_area_km2,duration_days,observation_count,growth_above_one_pixel,growth_above_primary_threshold
6833,2001-08-09,2,2.0,-11.0,0.15384615384615385,120.42351571954052,0.4293173465937274,0.0035650623885918006,3.7225017322301865,-3.7145017322301865,0.39269908169872414,-10065932.079277515,4577066.326575288,-120.24375154142132,41.16250107820232,0.7416544512590129,6.4557841611347255,6.4557841611347255,2,30.75,30.75,30.75,,30.75,30.75,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,False
6833,2001-08-11,3,4.0,-9.0,0.3076923076923077,120.42351571954052,2.361245406265501,0.01960784313725491,16.727257795032113,13.004756062801926,0.10679793080796544,-10067653.878072994,4577153.234578645,-120.26574439576882,41.16328877972121,1.7239907462508244,16.84848469866862,16.84848469866862,6,28.05000000000001,28.05000000000001,28.05000000000001,,28.05000000000001,28.05000000000001,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-12,4,5.0,-8.0,0.38461538461538464,120.42351571954052,21.8951846762801,0.18181818181818185,89.02004157339782,72.2927837783657,0.03486136644100443,-10067384.450615086,4577316.684739975,-120.26522997908778,41.16475991591276,0.31513030687922144,20.346329525679707,20.346329525679707,13,29.05000000000001,29.05000000000001,29.05000000000001,,29.05000000000001,29.05000000000001,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-13,5,6.0,-7.0,0.46153846153846156,120.42351571954052,50.8741055713567,0.4224598930481284,141.78969125753827,52.76964968414045,0.03188790551851474,-10066161.411262173,4577172.963330015,-120.24825264968823,41.16347317726382,1.2314548722765262,26.476536464036776,26.476536464036776,9,27.350000000000023,27.350000000000023,27.350000000000023,,27.350000000000023,27.350000000000023,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-14,6,7.0,-6.0,0.5384615384615384,120.42351571954052,28.9789208950766,0.24064171122994657,90.8812924395036,-50.90839881803467,0.04422852066436922,-10058426.018009841,4580802.791302796,-120.21574784559522,41.19611086012494,8.544703615703082,28.14686813016387,28.14686813016387,10,29.05000000000001,29.05000000000001,29.05000000000001,,29.05000000000001,29.05000000000001,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-15,7,8.0,-5.0,0.6153846153846154,120.42351571954052,8.58634693187455,0.07130124777183604,25.969512125570326,-64.91178031393326,0.16047288333696944,-10054410.646032337,4584165.589731071,-120.22330508915381,41.226346583381265,5.237520919951907,14.506665515097861,14.506665515097861,3,28.650000000000034,28.650000000000034,28.650000000000034,,28.650000000000034,28.650000000000034,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-16,8,9.0,-4.0,0.6923076923076923,120.42351571954052,3.434538772749819,0.028520499108734405,26.976137558657676,1.0066254330873505,0.059773682367859717,-10056927.582773618,4581379.4237054,-120.2073861754837,41.201304566761564,3.7546892923670865,15.782681174803887,15.782681174803887,13,30.150000000000034,30.150000000000034,30.150000000000034,,30.150000000000034,30.150000000000034,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-17,9,10.0,-3.0,0.7692307692307693,120.42351571954052,1.7172693863749096,0.014260249554367202,10.216879763621836,-16.75925779503584,0.20796243103469267,-10054121.348945452,4585346.387809989,-120.23937104043229,41.236968067676706,4.859192577521929,14.726951638604532,14.726951638604532,3,28.650000000000034,28.650000000000034,28.650000000000034,,28.650000000000034,28.650000000000034,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-18,10,11.0,-2.0,0.8461538461538461,120.42351571954052,0.6439760198905912,0.005347593582887702,5.58375259834528,-4.633127165276557,0.2617993877991494,-10065005.453844462,4579074.015013577,-120.26585360139117,41.1805981943928,12.562101732982875,25.70306297019881,25.70306297019881,3,26.150000000000034,26.150000000000034,26.150000000000034,,26.150000000000034,26.150000000000034,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
6833,2001-08-19,11,12.0,-1.0,0.9230769230769231,120.42351571954052,0.2146586732968637,0.0017825311942959003,1.8612508661150933,-3.722501732230186,0.7853981633974483,-10057592.450380016,4584942.642756263,-120.2742060140326,41.2333333519296,9.454808932289273,0.6580515544596587,0.6580515544596587,1,26.150000000000034,26.150000000000034,26.150000000000034,,26.150000000000034,26.150000000000034,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,False
