feature_set,pc,rank,feature,loading
normalized profile variables only,PC2,7,growth_p08,0.27067134872926596
normalized profile variables only,PC2,8,width_p05,-0.25761135878367897
normalized profile variables only,PC3,1,width_p02,0.34178161993582007
normalized profile variables only,PC3,2,width_p01,0.3409359082952526
normalized profile variables only,PC3,3,width_p00,0.33068923332128497
normalized profile variables only,PC3,4,width_p09,-0.3287414890333251
normalized profile variables only,PC3,5,width_p03,0.3065571578866563
normalized profile variables only,PC3,6,width_p08,-0.29372480633668185
normalized profile variables only,PC3,7,growth_p06,-0.23333610114688147
normalized profile variables only,PC3,8,width_p04,0.22044717828333668
normalized profile variables only,PC4,1,width_p05,-0.4248972207822485
normalized profile variables only,PC4,2,width_p09,0.3832568426859342
normalized profile variables only,PC4,3,width_p00,0.313851924334753
normalized profile variables only,PC4,4,width_p04,-0.3076798387304877
normalized profile variables only,PC4,5,width_p08,0.28309499599099447
normalized profile variables only,PC4,6,growth_p00,0.27691492432123993
normalized profile variables only,PC4,7,width_p06,-0.2697660678411299
normalized profile variables only,PC4,8,width_p01,0.2338319058018112
normalized profile variables only,PC5,1,width_p00,-0.36708659246631364
normalized profile variables only,PC5,2,width_p03,0.33050196593271497
normalized profile variables only,PC5,3,width_p09,0.3297804719870648
normalized profile variables only,PC5,4,width_p06,-0.3147348289588841
normalized profile variables only,PC5,5,growth_p05,-0.2986199821102917
normalized profile variables only,PC5,6,growth_p06,-0.26338058906515177
normalized profile variables only,PC5,7,width_p07,-0.25167400887729185
normalized profile variables only,PC5,8,width_p04,0.2512715581610132
growth-share profile only,PC1,1,growth_p06,0.3044349078916539
growth-share profile only,PC1,2,growth_p04,0.3042824464066283
growth-share profile only,PC1,3,growth_p07,0.3039399230015177
growth-share profile only,PC1,4,growth_p03,0.30364712082323203
growth-share profile only,PC1,5,growth_p05,0.30303527673866165
growth-share profile only,PC1,6,growth_p08,0.30296540478983225
growth-share profile only,PC1,7,growth_p02,0.3023834713910578
growth-share profile only,PC1,8,growth_p09,0.3008552142409857
growth-share profile only,PC2,1,growth_p00,0.44560225512749185
growth-share profile only,PC2,2,growth_p10,-0.4078935673220426
growth-share profile only,PC2,3,growth_p01,0.39067185604546645
growth-share profile only,PC2,4,growth_p09,-0.3624300959581804
growth-share profile only,PC2,5,growth_p02,0.32578423823879793
growth-share profile only,PC2,6,growth_p08,-0.3106931184591527
growth-share profile only,PC2,7,growth_p07,-0.2442012957843906
growth-share profile only,PC2,8,growth_p03,0.23414277609936884
growth-share profile only,PC3,1,growth_p05,0.49766205213489717
growth-share profile only,PC3,2,growth_p00,-0.4144973188164405
growth-share profile only,PC3,3,growth_p10,-0.39956169580663714
growth-share profile only,PC3,4,growth_p04,0.3783849996013315
growth-share profile only,PC3,5,growth_p06,0.30206162309368734
growth-share profile only,PC3,6,growth_p09,-0.2624019247565094
growth-share profile only,PC3,7,growth_p01,-0.2451581423179513
growth-share profile only,PC3,8,growth_p03,0.1866978455777774
growth-share profile only,PC4,1,growth_p03,-0.461530253964517
growth-share profile only,PC4,2,growth_p00,0.3941656233405785
growth-share profile only,PC4,3,growth_p07,0.39011777972070744
growth-share profile only,PC4,4,growth_p06,0.3765341495264458
growth-share profile only,PC4,5,growth_p10,-0.36958720256452593
growth-share profile only,PC4,6,growth_p04,-0.29295378420552737
growth-share profile only,PC4,7,growth_p02,-0.24118183962782266
growth-share profile only,PC4,8,growth_p09,-0.1337399835965496
growth-share profile only,PC5,1,growth_p05,0.46188906025998483
growth-share profile only,PC5,2,growth_p02,-0.41454331811320183
growth-share profile only,PC5,3,growth_p07,-0.3843486946052941
growth-share profile only,PC5,4,growth_p10,0.351135235786886
growth-share profile only,PC5,5,growth_p00,0.34726263965429116
growth-share profile only,PC5,6,growth_p08,-0.3120688520567786
growth-share profile only,PC5,7,growth_p03,-0.25735994768704323
growth-share profile only,PC5,8,growth_p04,0.23897870706288843
cumulative-width profile only,PC1,1,width_p04,0.32539267506049074
cumulative-width profile only,PC1,2,width_p03,0.3251571807999853
cumulative-width profile only,PC1,3,width_p02,0.3231269406380029
cumulative-width profile only,PC1,4,width_p05,0.32113285896554955
cumulative-width profile only,PC1,5,width_p01,0.3197695883363431
cumulative-width profile only,PC1,6,width_p06,0.3189868277747089
cumulative-width profile only,PC1,7,width_p00,0.3144829507990873
cumulative-width profile only,PC1,8,width_p07,0.3121836273537595
cumulative-width profile only,PC2,1,width_p09,-0.45391109451937756
cumulative-width profile only,PC2,2,width_p08,-0.423118351889916
cumulative-width profile only,PC2,3,width_p00,0.4054690091301448
cumulative-width profile only,PC2,4,width_p01,0.37179515248527994
cumulative-width profile only,PC2,5,width_p07,-0.33274779295709106
cumulative-width profile only,PC2,6,width_p02,0.3139901368626228
cumulative-width profile only,PC2,7,width_p03,0.22275341065536522
cumulative-width profile only,PC2,8,width_p06,-0.19926136116520798
cumulative-width profile only,PC3,1,width_p05,0.4918923432385884
cumulative-width profile only,PC3,2,width_p09,-0.41496903720090345
cumulative-width profile only,PC3,3,width_p00,-0.38444056630689577
cumulative-width profile only,PC3,4,width_p04,0.3721564529777827
cumulative-width profile only,PC3,5,width_p06,0.3271870052445085
cumulative-width profile only,PC3,6,width_p08,-0.29517557369867126
cumulative-width profile only,PC3,7,width_p01,-0.2671697676302841
cumulative-width profile only,PC3,8,width_p03,0.16450761598758376
cumulative-width profile only,PC4,1,width_p03,-0.4265332664138339
cumulative-width profile only,PC4,2,width_p06,0.4123392876619512
cumulative-width profile only,PC4,3,width_p07,0.40598675448117694
cumulative-width profile only,PC4,4,width_p09,-0.39064560957911054
cumulative-width profile only,PC4,5,width_p00,0.38540211675950764
cumulative-width profile only,PC4,6,width_p04,-0.3368124121040927
cumulative-width profile only,PC4,7,width_p02,-0.19863225226045758
cumulative-width profile only,PC4,8,width_p01,0.13759996847480047
cumulative-width profile only,PC5,1,width_p05,0.4854475348287574
cumulative-width profile only,PC5,2,width_p07,-0.47950663874255756
cumulative-width profile only,PC5,3,width_p09,0.393677283112525
cumulative-width profile only,PC5,4,width_p02,-0.34667752717206163
cumulative-width profile only,PC5,5,width_p00,0.33357889482957404
cumulative-width profile only,PC5,6,width_p03,-0.31905922823255023
cumulative-width profile only,PC5,7,width_p08,-0.18246061605343908
cumulative-width profile only,PC5,8,width_p04,0.11160930334469701
pulse timing taper entropy shape variables only,PC1,1,growth_entropy,-0.44758317011315285
pulse timing taper entropy shape variables only,PC1,2,front_loaded_fraction,0.4292973576928757
pulse timing taper entropy shape variables only,PC1,3,developmental_velocity,-0.3969502022380622
pulse timing taper entropy shape variables only,PC1,4,late_growth_fraction,-0.39679035901059057
pulse timing taper entropy shape variables only,PC1,5,peak_timing,-0.32277900702751056
pulse timing taper entropy shape variables only,PC1,6,terminal_taper_fraction,0.2755155020590687
pulse timing taper entropy shape variables only,PC1,7,developmental_acceleration,-0.25250785501741385
pulse timing taper entropy shape variables only,PC1,8,reactivation_count,-0.16808589523033066
pulse timing taper entropy shape variables only,PC2,1,reactivation_count,-0.6077417736183685
pulse timing taper entropy shape variables only,PC2,2,pulse_count,-0.6077417736183457
pulse timing taper entropy shape variables only,PC2,3,developmental_velocity,0.31184784115934233
pulse timing taper entropy shape variables only,PC2,4,terminal_taper_fraction,0.2767862850263448
pulse timing taper entropy shape variables only,PC2,5,late_growth_fraction,0.2615496868741259
pulse timing taper entropy shape variables only,PC2,6,growth_entropy,0.08855123695582336
pulse timing taper entropy shape variables only,PC2,7,developmental_acceleration,-0.07375911101625095
pulse timing taper entropy shape variables only,PC2,8,peak_timing,0.07330891529419896
pulse timing taper entropy shape variables only,PC3,1,developmental_acceleration,-0.6552345967678708
pulse timing taper entropy shape variables only,PC3,2,terminal_taper_fraction,0.545503542744605
pulse timing taper entropy shape variables only,PC3,3,late_growth_fraction,0.3230945324086828
pulse timing taper entropy shape variables only,PC3,4,reactivation_count,0.26658449573360327
pulse timing taper entropy shape variables only,PC3,5,pulse_count,0.26658449573359316
pulse timing taper entropy shape variables only,PC3,6,developmental_velocity,0.11879253717752847
pulse timing taper entropy shape variables only,PC3,7,front_loaded_fraction,-0.10080073526182716
pulse timing taper entropy shape variables only,PC3,8,growth_entropy,0.0379018432701668
pulse timing taper entropy shape variables only,PC4,1,peak_timing,0.7187509221722785
pulse timing taper entropy shape variables only,PC4,2,growth_entropy,-0.4559786166310288
pulse timing taper entropy shape variables only,PC4,3,terminal_taper_fraction,0.40576377820017473
pulse timing taper entropy shape variables only,PC4,4,developmental_acceleration,0.2972818528533959
pulse timing taper entropy shape variables only,PC4,5,front_loaded_fraction,-0.09116902994350928
pulse timing taper entropy shape variables only,PC4,6,late_growth_fraction,-0.06268932785856195
pulse timing taper entropy shape variables only,PC4,7,developmental_velocity,-0.06167733834577791
pulse timing taper entropy shape variables only,PC4,8,reactivation_count,0.05663051916991014
pulse timing taper entropy shape variables only,PC5,1,developmental_acceleration,-0.6201516632533125
pulse timing taper entropy shape variables only,PC5,2,terminal_taper_fraction,-0.5168668706702292
pulse timing taper entropy shape variables only,PC5,3,peak_timing,0.49322093000441203
pulse timing taper entropy shape variables only,PC5,4,developmental_velocity,-0.23293446321747138
pulse timing taper entropy shape variables only,PC5,5,reactivation_count,-0.12748937263256063
pulse timing taper entropy shape variables only,PC5,6,pulse_count,-0.12748937263255591
pulse timing taper entropy shape variables only,PC5,7,front_loaded_fraction,-0.10092665782397228
pulse timing taper entropy shape variables only,PC5,8,late_growth_fraction,-0.06897871607183893
one representative per correlated cluster,PC1,1,growth_p00,0.4559374914730594
one representative per correlated cluster,PC1,2,observation_count,-0.3589401054984334
one representative per correlated cluster,PC1,3,terminal_taper_fraction,0.3406952846882986
one representative per correlated cluster,PC1,4,late_growth_fraction,-0.33231920450356894
one representative per correlated cluster,PC1,5,log_final_area_km2,-0.3238104632369263
one representative per correlated cluster,PC1,6,peak_timing,-0.31729948612282455
one representative per correlated cluster,PC1,7,developmental_acceleration,-0.2856054746806312
one representative per correlated cluster,PC1,8,log_slenderness_days_per_width,-0.2553782669705985
one representative per correlated cluster,PC2,1,log_peak_growth_km2_per_day,-0.5808275080942041
one representative per correlated cluster,PC2,2,log_slenderness_days_per_width,0.5042004252659189
one representative per correlated cluster,PC2,3,late_growth_fraction,0.4301854531603247
one representative per correlated cluster,PC2,4,log_final_area_km2,-0.2654078041629669
one representative per correlated cluster,PC2,5,terminal_taper_fraction,0.23845048999530188
one representative per correlated cluster,PC2,6,growth_p00,-0.16275434517439577
one representative per correlated cluster,PC2,7,pulse_count,-0.15366040851327967
one representative per correlated cluster,PC2,8,observation_count,-0.14488311912968807
one representative per correlated cluster,PC3,1,pulse_count,0.6035866659020842
one representative per correlated cluster,PC3,2,peak_timing,-0.37959685858558845
one representative per correlated cluster,PC3,3,observation_count,0.3689305768100389
one representative per correlated cluster,PC3,4,log_slenderness_days_per_width,0.3201872095496725
one representative per correlated cluster,PC3,5,log_peak_growth_km2_per_day,-0.3045468460014386
one representative per correlated cluster,PC3,6,late_growth_fraction,-0.2718995803597787
one representative per correlated cluster,PC3,7,developmental_acceleration,-0.2544370896383483
one representative per correlated cluster,PC3,8,terminal_taper_fraction,-0.120842914509775
one representative per correlated cluster,PC4,1,developmental_acceleration,-0.6034284765578483
one representative per correlated cluster,PC4,2,terminal_taper_fraction,0.4158164609847405
one representative per correlated cluster,PC4,3,late_growth_fraction,0.38414653107772645
one representative per correlated cluster,PC4,4,pulse_count,0.3393251493642168
one representative per correlated cluster,PC4,5,peak_timing,0.2538377849585414
one representative per correlated cluster,PC4,6,log_slenderness_days_per_width,-0.2451264778225852
one representative per correlated cluster,PC4,7,log_peak_growth_km2_per_day,0.24478410681148066
one representative per correlated cluster,PC4,8,observation_count,0.12119246324021622
one representative per correlated cluster,PC5,1,developmental_acceleration,-0.5050974646916895
one representative per correlated cluster,PC5,2,peak_timing,-0.4860263117438287
one representative per correlated cluster,PC5,3,pulse_count,-0.4722770909364426
one representative per correlated cluster,PC5,4,terminal_taper_fraction,-0.3519669440522055
one representative per correlated cluster,PC5,5,late_growth_fraction,0.26957529939197666
one representative per correlated cluster,PC5,6,log_final_area_km2,0.19016880402590944
one representative per correlated cluster,PC5,7,log_peak_growth_km2_per_day,0.16142046495770765
one representative per correlated cluster,PC5,8,log_slenderness_days_per_width,0.12081845682505728
interpolated profile features removed,PC1,1,log_duration_days,-0.3657021707660262
interpolated profile features removed,PC1,2,growth_entropy,-0.36408399183149587
interpolated profile features removed,PC1,3,front_loaded_fraction,0.3490415869261706
interpolated profile features removed,PC1,4,late_growth_fraction,-0.30171740915689677
interpolated profile features removed,PC1,5,developmental_velocity,-0.300410310080042
interpolated profile features removed,PC1,6,observation_count,-0.27573088255602635
interpolated profile features removed,PC1,7,terminal_taper_fraction,0.2544064701644667
interpolated profile features removed,PC1,8,peak_timing,-0.253208759887864
interpolated profile features removed,PC2,1,reactivation_count,-0.3747195715967963
interpolated profile features removed,PC2,2,pulse_count,-0.37471957159667274
interpolated profile features removed,PC2,3,log_peak_growth_km2_per_day,-0.37420480355131486
interpolated profile features removed,PC2,4,developmental_velocity,0.3491668479388634
interpolated profile features removed,PC2,5,late_growth_fraction,0.34127339164663173
interpolated profile features removed,PC2,6,observation_count,-0.2919052336217789
interpolated profile features removed,PC2,7,log_final_area_km2,-0.2599992640304618
interpolated profile features removed,PC2,8,terminal_taper_fraction,0.25775890737125656
interpolated profile features removed,PC3,1,log_peak_growth_km2_per_day,-0.516434034200593
interpolated profile features removed,PC3,2,reactivation_count,0.41334967982286047
interpolated profile features removed,PC3,3,pulse_count,0.41334967982262955
interpolated profile features removed,PC3,4,log_slenderness_days_per_width,0.39798283964693265
interpolated profile features removed,PC3,5,developmental_acceleration,-0.2972191703940261
interpolated profile features removed,PC3,6,log_final_area_km2,-0.19936476478529863
interpolated profile features removed,PC3,7,peak_timing,-0.19217599788437809
interpolated profile features removed,PC3,8,terminal_taper_fraction,0.16508912200631484
interpolated profile features removed,PC4,1,terminal_taper_fraction,-0.44717791422303327
interpolated profile features removed,PC4,2,developmental_acceleration,0.39633089612377026
interpolated profile features removed,PC4,3,log_slenderness_days_per_width,0.36982587537968886
interpolated profile features removed,PC4,4,late_growth_fraction,-0.32826370905361957
interpolated profile features removed,PC4,5,peak_timing,-0.30484768771769083
interpolated profile features removed,PC4,6,log_peak_growth_km2_per_day,-0.285250960563118
interpolated profile features removed,PC4,7,reactivation_count,-0.2402444801086643
interpolated profile features removed,PC4,8,pulse_count,-0.24024448010844476
interpolated profile features removed,PC5,1,developmental_acceleration,-0.6238895637237222
interpolated profile features removed,PC5,2,peak_timing,-0.5518645564601377
interpolated profile features removed,PC5,3,growth_entropy,0.3160792721890355
interpolated profile features removed,PC5,4,log_peak_growth_km2_per_day,0.23530384626535364
