fire_id,final_area_km2,observation_count,observed_duration_days,candidate_event_window_days,number_of_active_observations,active_fraction,peak_expansion_magnitude_km2,timing_of_peak_expansion_relative_age,final_meaningful_expansion_relative_age,number_of_expansion_pulses,pulse_prominence_km2,pulse_duration_observations,median_inter_pulse_interval_observations,amount_of_growth_in_largest_pulse_km2,fraction_final_area_accumulated_before_peak,fraction_final_area_accumulated_during_largest_pulse,fraction_final_area_accumulated_after_final_major_pulse,quiescent_persistence_observations,reactivation_count,terminal_taper_fraction_of_peak,growth_asymmetry_decline_minus_rise_km2,geometric_trajectory_length_km2,space_time_volume_km2_days,maximum_vase_width_km,mean_compactness,max_gap_days,terminal_observed_record_lag_after_final_meaningful_expansion_observations,terminal_observed_record_lag_after_final_meaningful_expansion_days,selected_profile
7439,5.151808159124729,5,5.0,6,2,0.4,3.005221426156092,0.4,0.6,1,2.3612454062655006,1,,3.005221426156092,1.0,0.5833333333333333,0.0,2,0,0.07142857142857142,0.0,5.581125505718456,25.759040795623648,2.7818762991689145,0.5420058869795685,2,2,2.0,Profile B
8264,12.66486172451496,8,7.0,8,3,0.375,6.225101525609047,0.7142857142857143,0.8571428571428571,1,5.688454842366888,1,,6.225101525609047,1.0,0.49152542372881347,0.0,1,0,0.06896551724137931,0.0,12.450203051218095,88.65403207160473,7.415003464447334,0.36109223355198933,1,1,1.0,Profile B
8330,16.528717843858505,16,24.0,25,8,0.5,3.649197446046683,0.4166666666666667,0.7083333333333334,4,2.7905627528592283,4,4.0,3.649197446046683,1.0,0.2207792207792208,0.0,3,0,0.0588235294117647,0.0,11.162251011436911,396.6892282526042,7.415003464447334,0.3664473969557675,4,3,7.0,Profile B
9549,1.7172693863749096,6,12.0,13,6,1.0,0.4293173465937274,0.0,1.0,5,0.2146586732968637,5,1.0,0.4293173465937274,1.0,0.25,0.0,0,0,0.5,0.2146586732968637,0.2146586732968637,20.607232636498914,0.9286254330575466,0.7057688764089445,5,0,0.0,Profile B
9668,3.005221426156092,7,9.0,10,7,1.0,0.8586346931874548,0.5555555555555556,1.0,3,0.6439760198905911,3,2.5,0.8586346931874548,1.0,0.2857142857142857,0.0,0,0,1.0,-0.6439760198905911,2.3612454062655006,27.046992835404826,2.318563582640141,0.622068458590589,3,0,0.0,Profile B
9815,6.869077545499638,11,11.0,12,5,0.45454545454545453,1.502610713078046,0.36363636363636365,0.5454545454545454,3,1.2879520397811823,3,2.0,1.502610713078046,1.0,0.21875,0.0,4,0,0.14285714285714285,0.0,5.1518081591247284,75.559853000496,5.098439881807193,0.5393567270677342,2,4,5.0,Profile B
9840,2.7905627528592283,5,6.0,7,5,1.0,0.8586346931874548,1.0,1.0,3,0.2146586732968636,3,2.0,0.8586346931874548,1.0,0.30769230769230765,0.0,0,0,1.0,-0.2146586732968636,1.0732933664843185,16.74337651715537,1.8552508661132305,0.4811674337725805,2,0,0.0,Profile B
10052,5.79578417901532,6,9.0,10,2,0.3333333333333333,3.005221426156092,0.3333333333333333,0.3333333333333333,2,2.4685747429139324,2,3.0,3.005221426156092,1.0,0.5185185185185185,0.0,2,0,0.07142857142857142,0.8586346931874551,6.010442852312185,52.16205761113788,4.635127165280283,0.42229572763750745,4,2,6.0,Profile B
10061,5.366466832421592,5,6.0,7,2,0.4,3.005221426156092,0.16666666666666666,1.0,2,2.3612454062655006,2,3.0,3.005221426156092,1.0,0.56,0.0,0,0,0.3571428571428572,-0.42931734659372744,6.010442852312183,32.198800994529556,5.561752598337829,0.36766679075852293,3,0,0.0,Profile B
10354,9.015664278468275,10,15.0,16,4,0.4,2.7905627528592283,0.4666666666666667,0.8666666666666667,3,2.146586732968637,3,2.5,2.7905627528592283,1.0,0.30952380952380953,0.0,1,0,0.15384615384615383,0.0,7.727712238687094,135.23496417702412,3.2451890156958254,0.440187217650844,3,1,2.0,Profile B
10950,2.7905627528592283,6,5.0,6,3,0.5,1.0732933664843187,0.6,0.6,2,0.7513053565390232,2,3.0,1.0732933664843187,1.0,0.3846153846153847,0.0,2,0,0.19999999999999996,0.42931734659372744,2.1465867329686374,13.952813764296142,1.8552508661122993,0.6257850945279674,1,2,2.0,Profile B
11188,3.863856119343547,9,10.0,11,9,1.0,0.8586346931874548,0.4,1.0,3,0.4293173465937274,3,2.0,0.8586346931874548,1.0,0.2222222222222222,0.0,0,0,0.25,0.0,3.0052214261560914,38.63856119343546,1.391938149584923,0.6256877899708367,2,0,0.0,Profile B
11204,2.5759040795623647,5,9.0,10,5,1.0,0.8586346931874548,0.0,1.0,2,0.4293173465937274,2,3.0,0.8586346931874548,1.0,0.3333333333333333,0.0,0,0,0.25,0.6439760198905911,1.0732933664843185,23.18313671606128,1.3919381495858543,0.49064276178281385,4,0,0.0,Profile B
11347,4.507832139234138,6,12.0,13,5,0.8333333333333334,1.7172693863749096,0.16666666666666666,1.0,3,1.1806227031327503,3,2.0,1.7172693863749096,1.0,0.38095238095238093,0.0,0,0,0.25,0.6439760198905913,2.790562752859228,54.09398567080965,3.245189015696291,0.43031605576476756,4,0,0.0,Profile B
11421,7.942370911983957,10,16.0,17,8,0.8,1.502610713078046,0.1875,1.0,4,0.751305356539023,4,3.0,1.502610713078046,1.0,0.1891891891891892,0.0,0,0,0.8571428571428572,0.0,3.4345387727498196,127.07793459174331,3.245189015696291,0.4217165567509478,4,0,0.0,Profile B
11638,3.649197446046683,7,6.0,7,4,0.5714285714285714,1.502610713078046,0.16666666666666666,0.6666666666666666,2,1.0732933664843185,2,3.0,1.502610713078046,1.0,0.4117647058823529,0.0,2,0,0.14285714285714285,0.0,3.0052214261560914,21.895184676280103,3.2451890156958254,0.554984511427928,1,2,2.0,Profile B
12082,12.66486172451496,10,16.0,17,4,0.4,3.863856119343547,0.125,0.75,4,3.219880099452956,4,2.0,3.863856119343547,1.0,0.30508474576271183,0.0,1,0,0.05555555555555555,0.2146586732968636,16.528717843858505,202.63778759223936,5.098439881809056,0.37296106704115967,4,1,4.0,Profile B
12456,5.366466832421592,5,9.0,10,2,0.4,3.005221426156092,0.4444444444444444,0.5555555555555556,1,2.5759040795623647,1,,3.005221426156092,1.0,0.56,0.0,2,0,0.07142857142857142,0.2146586732968636,5.366466832421593,48.29820149179433,4.635127165280283,0.54285369528556,4,2,4.0,Profile B
12563,5.151808159124729,9,11.0,12,5,0.5555555555555556,1.7172693863749096,0.8181818181818182,0.9090909090909091,3,1.2879520397811821,3,1.5,1.7172693863749096,1.0,0.3333333333333333,0.0,1,0,0.125,0.0,3.0052214261560914,56.669889750372015,4.171814448752441,0.5406686760765366,4,1,1.0,Profile B
12693,7.942370911983957,8,10.0,11,4,0.5,2.5759040795623647,0.7,0.9,3,1.9319280596717736,3,2.5,2.5759040795623647,1.0,0.32432432432432434,0.0,1,0,0.08333333333333333,0.0,7.727712238687094,79.42370911983957,4.171814448751975,0.5075306573506725,4,1,1.0,Profile B
16004,1.502610713078046,6,9.0,10,6,1.0,0.4293173465937274,0.0,1.0,5,0.2146586732968637,5,1.0,0.4293173465937274,1.0,0.2857142857142857,0.0,0,0,0.5,0.2146586732968637,0.2146586732968637,13.523496417702411,0.9286254330566153,0.7709371055425164,4,0,0.0,Profile B
17603,5.79578417901532,6,7.0,8,3,0.5,3.2198800994529555,0.2857142857142857,0.7142857142857143,2,2.5759040795623642,2,3.0,3.2198800994529555,1.0,0.5555555555555556,0.0,1,0,0.06666666666666667,0.6439760198905913,6.654418872202774,40.57048925310724,5.561752598335967,0.5157675553301987,2,1,2.0,Profile B
19692,70.83736218796503,9,10.0,11,3,0.3333333333333333,24.04177140924873,0.7,0.8,1,21.46586732968637,1,,24.04177140924873,1.0,0.3393939393939393,0.0,2,0,0.05357142857142858,-1.073293366484318,46.58093210541942,708.3736218796503,15.754632361950353,0.25742541492984294,3,2,2.0,Profile B
20080,9.015664278468275,13,15.0,16,7,0.5384615384615384,2.361245406265501,0.3333333333333333,0.8,5,1.7172693863749098,5,2.5,2.361245406265501,1.0,0.261904761904762,0.0,1,0,0.1818181818181818,0.0,7.298394892093367,135.23496417702415,6.02506531486474,0.45117922709804625,3,1,3.0,Profile B
20657,151.9783406941795,29,37.0,38,7,0.2413793103448276,31.3401663013421,0.40540540540540543,0.5135135135135135,3,29.837555588264056,3,4.0,31.3401663013421,1.0,0.2062146892655367,0.0,15,0,0.0136986301369863,-0.2146586732968636,105.82672593535382,5623.1986056846445,24.557573975980283,0.32252128952725917,5,15,18.0,Profile A
