kind,fold,stage,feature,center,scale,train_n,pc1_loading,pc1_evr
random_fire,1,core_quantile_exceedance,wet_fraction,0.155968816904,0.229873011274,7357,,
random_fire,2,outcome_pca,allocation_00,0.04611789943,0.0334720123101,7312,-0.18403265502,0.343564947113
random_fire,2,outcome_pca,allocation_01,0.0464617416591,0.0334906025504,7312,-0.187580970045,0.343564947113
random_fire,2,outcome_pca,allocation_02,0.0480293939631,0.0343360772405,7312,-0.206042875493,0.343564947113
random_fire,2,outcome_pca,allocation_03,0.0509403007812,0.036696010712,7312,-0.230977762925,0.343564947113
random_fire,2,outcome_pca,allocation_04,0.055233533646,0.0411585964525,7312,-0.243739437313,0.343564947113
random_fire,2,outcome_pca,allocation_05,0.0597171625503,0.0421805752251,7312,-0.243199622243,0.343564947113
random_fire,2,outcome_pca,allocation_06,0.0601813910322,0.037249230549,7312,-0.228967857048,0.343564947113
random_fire,2,outcome_pca,allocation_07,0.0603686562263,0.0406982363473,7312,-0.128863115382,0.343564947113
random_fire,2,outcome_pca,allocation_08,0.0596374419308,0.0393199763333,7312,-0.0817526709492,0.343564947113
random_fire,2,outcome_pca,allocation_09,0.059285544722,0.0401067193519,7312,-0.0679353272214,0.343564947113
random_fire,2,outcome_pca,allocation_10,0.0546771427643,0.0365969075697,7312,0.0522668745703,0.343564947113
random_fire,2,outcome_pca,allocation_11,0.0538670582008,0.0350383090323,7312,0.0701539641979,0.343564947113
random_fire,2,outcome_pca,allocation_12,0.0511119473888,0.033339157037,7312,0.113190671883,0.343564947113
random_fire,2,outcome_pca,allocation_13,0.0480976127337,0.0277751625925,7312,0.250299296367,0.343564947113
random_fire,2,outcome_pca,allocation_14,0.0460009780488,0.0308203801621,7312,0.276653479083,0.343564947113
random_fire,2,outcome_pca,allocation_15,0.0423713668433,0.0296589477063,7312,0.304214809224,0.343564947113
random_fire,2,outcome_pca,allocation_16,0.0405558005657,0.0285511916082,7312,0.313382575176,0.343564947113
random_fire,2,outcome_pca,allocation_17,0.039485128346,0.0284070030938,7312,0.311275494866,0.343564947113
random_fire,2,outcome_pca,allocation_18,0.0389650052727,0.0285400485868,7312,0.307556972186,0.343564947113
random_fire,2,outcome_pca,allocation_19,0.038894893895,0.0285890058047,7312,0.307187038781,0.343564947113
random_fire,2,core_means,mean_maximum_temperature_c,25.6242173351,7.31564399934,7312,,
random_fire,2,core_means,mean_minimum_temperature_c,10.1617512322,7.36153604302,7312,,
random_fire,2,core_means,mean_vpd_kpa,1.34921574196,0.748228196195,7312,,
random_fire,2,core_means,mean_wind_speed_m_s,3.93146407491,1.2735487887,7312,,
random_fire,2,max_vpd_only,max_vpd,1.634577407,0.852027596335,7312,,
random_fire,2,core_plus_max,mean_maximum_temperature_c,25.6242173351,7.31564399934,7312,,
random_fire,2,core_plus_max,mean_minimum_temperature_c,10.1617512322,7.36153604302,7312,,
random_fire,2,core_plus_max,mean_vpd_kpa,1.34921574196,0.748228196195,7312,,
random_fire,2,core_plus_max,mean_wind_speed_m_s,3.93146407491,1.2735487887,7312,,
random_fire,2,core_plus_max,max_vpd,1.634577407,0.852027596335,7312,,
random_fire,2,comprehensive_means,mean_maximum_temperature_c,25.6242173351,7.31564399934,7312,,
random_fire,2,comprehensive_means,mean_minimum_temperature_c,10.1617512322,7.36153604302,7312,,
random_fire,2,comprehensive_means,mean_vpd_kpa,1.34921574196,0.748228196195,7312,,
random_fire,2,comprehensive_means,mean_wind_speed_m_s,3.93146407491,1.2735487887,7312,,
random_fire,2,comprehensive_means,mean_precipitation_mm,0.730590165538,2.11961375022,7312,,
random_fire,2,comprehensive_means,mean_maximum_relative_humidity_pct,77.2006572717,18.6593765524,7312,,
random_fire,2,comprehensive_means,mean_minimum_relative_humidity_pct,29.3956758582,12.4962773907,7312,,
random_fire,2,comprehensive_means,mean_specific_humidity_kg_kg,0.00737365331504,0.00390059097829,7312,,
random_fire,2,comprehensive_means,mean_fuel_moisture_100hr_pct,12.2706809498,4.02225769991,7312,,
random_fire,2,comprehensive_means,mean_fuel_moisture_1000hr_pct,14.563277674,4.52573214213,7312,,
random_fire,2,comprehensive_means,mean_energy_release_component,44.4937642659,21.083265973,7312,,
random_fire,2,comprehensive_means,mean_burning_index,36.9060852306,18.5062799697,7312,,
random_fire,2,comprehensive_means,mean_reference_evapotranspiration_mm,6.73683600867,2.56599435393,7312,,
random_fire,2,comprehensive_means,mean_potential_evapotranspiration_mm,4.88238550474,1.86500301597,7312,,
random_fire,2,comprehensive_means,mean_solar_radiation_w_m2,237.235754717,64.2792700543,7312,,
random_fire,2,comprehensive_plus_max,mean_maximum_temperature_c,25.6242173351,7.31564399934,7312,,
random_fire,2,comprehensive_plus_max,mean_minimum_temperature_c,10.1617512322,7.36153604302,7312,,
random_fire,2,comprehensive_plus_max,mean_vpd_kpa,1.34921574196,0.748228196195,7312,,
random_fire,2,comprehensive_plus_max,mean_wind_speed_m_s,3.93146407491,1.2735487887,7312,,
random_fire,2,comprehensive_plus_max,mean_precipitation_mm,0.730590165538,2.11961375022,7312,,
random_fire,2,comprehensive_plus_max,mean_maximum_relative_humidity_pct,77.2006572717,18.6593765524,7312,,
random_fire,2,comprehensive_plus_max,mean_minimum_relative_humidity_pct,29.3956758582,12.4962773907,7312,,
random_fire,2,comprehensive_plus_max,mean_specific_humidity_kg_kg,0.00737365331504,0.00390059097829,7312,,
random_fire,2,comprehensive_plus_max,mean_fuel_moisture_100hr_pct,12.2706809498,4.02225769991,7312,,
random_fire,2,comprehensive_plus_max,mean_fuel_moisture_1000hr_pct,14.563277674,4.52573214213,7312,,
random_fire,2,comprehensive_plus_max,mean_energy_release_component,44.4937642659,21.083265973,7312,,
random_fire,2,comprehensive_plus_max,mean_burning_index,36.9060852306,18.5062799697,7312,,
random_fire,2,comprehensive_plus_max,mean_reference_evapotranspiration_mm,6.73683600867,2.56599435393,7312,,
random_fire,2,comprehensive_plus_max,mean_potential_evapotranspiration_mm,4.88238550474,1.86500301597,7312,,
random_fire,2,comprehensive_plus_max,mean_solar_radiation_w_m2,237.235754717,64.2792700543,7312,,
random_fire,2,comprehensive_plus_max,max_vpd,1.634577407,0.852027596335,7312,,
random_fire,2,length_only,log_duration,1.61851068635,0.31998490858,7312,,
random_fire,2,length_only,log_observations,1.61851068635,0.31998490858,7312,,
random_fire,2,length_plus_max,log_duration,1.61851068635,0.31998490858,7312,,
random_fire,2,length_plus_max,log_observations,1.61851068635,0.31998490858,7312,,
random_fire,2,length_plus_max,max_vpd,1.634577407,0.852027596335,7312,,
random_fire,2,length_plus_core,log_duration,1.61851068635,0.31998490858,7312,,
random_fire,2,length_plus_core,log_observations,1.61851068635,0.31998490858,7312,,
random_fire,2,length_plus_core,mean_maximum_temperature_c,25.6242173351,7.31564399934,7312,,
random_fire,2,length_plus_core,mean_minimum_temperature_c,10.1617512322,7.36153604302,7312,,
random_fire,2,length_plus_core,mean_vpd_kpa,1.34921574196,0.748228196195,7312,,
random_fire,2,length_plus_core,mean_wind_speed_m_s,3.93146407491,1.2735487887,7312,,
