kind,predictor_set,stratum,value,n,r2,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
random_fire,state_weather_interactions,season,MAM,20363,0.366426297793,0.012881425057,fire_id,8398,0.327252712938,0.399824031254,0.00792173848965,0.0178114347762
random_fire,state_weather_interactions,season,SON,24909,0.401565533377,0.0241197538026,fire_id,9857,0.360486200354,0.443114891407,0.0197037545026,0.0279491140134
random_fire,state_weather_interactions,size_class,"(0.0, 1.0]",1947,-8.33008220664,-0.95420221493,fire_id,1838,-9.33283628306,-7.52047526306,-1.19649774486,-0.751966424985
random_fire,state_weather_interactions,size_class,"(1.0, 10.0]",46640,-0.224780980756,0.0294939482585,fire_id,23072,-0.239783854438,-0.20792550342,0.0249891061601,0.0342119049559
random_fire,state_weather_interactions,size_class,"(10.0, 100.0]",31106,0.0905820731517,0.0128769562131,fire_id,6160,0.0765412415152,0.10576674339,0.00928061663607,0.0168432205849
random_fire,state_weather_interactions,size_class,"(100.0, 1000.0]",7652,0.338230839502,0.0330779233656,fire_id,599,0.306814939674,0.362087077203,0.0241790797269,0.0413883796393
random_fire,state_weather_interactions,size_class,"(1000.0, inf]",599,0.454604777599,0.0750973840217,fire_id,31,0.343136092482,0.527789735198,0.0373757515327,0.119634960325
random_fire,state_weather_interactions,observation_quality,consecutive_history,21677,0.481891097847,0.0170267295397,fire_id,9212,0.448538981108,0.511773068171,0.0131365280051,0.021197778662
random_fire,state_weather_interactions,observation_quality,history_has_gaps,66267,0.47015405989,0.0144680473321,fire_id,22488,0.445467996542,0.4926093958,0.0119525791532,0.0169157724055
random_fire,weather_only,region,central,24323,-0.13578988965,-0.29652742308,fire_id,10105,-0.162331025102,-0.116281129041,-0.322020509136,-0.270539930943
random_fire,weather_only,region,east,17224,-0.0160707438926,-0.328704200864,fire_id,6575,-0.0419386783403,0.0088925448146,-0.41151374781,-0.264782964294
random_fire,weather_only,region,intermountain,23399,0.0365017722631,-0.364089572158,fire_id,8866,0.0235784136644,0.049493619245,-0.385794287355,-0.338580919917
random_fire,weather_only,region,west,22998,0.0236186197479,-0.48014714746,fire_id,6154,0.0110287407513,0.0354261152246,-0.511670420464,-0.452587754682
random_fire,weather_only,season,DJF,12759,-0.0263639777913,-0.172219178564,fire_id,5237,-0.0615015074093,0.0171645291348,-0.224545962308,-0.129538276457
random_fire,weather_only,season,JJA,29913,0.0478104373913,-0.463266239441,fire_id,8208,0.038642362672,0.0606919365513,-0.483705971279,-0.433823452146
