i,j,fire_id_a,fire_id_b,match_distance,caliper,k,metric,log_area_distance,weather_distance,morphology_distance,matching_space,duration_days_a,duration_days_b,observation_count_a,observation_count_b,catalog_area_km2_a,catalog_area_km2_b,region_a,region_b,season_a,season_b,start_date_a,start_date_b,end_date_a,end_date_b,mean_maximum_temperature_c_a,mean_maximum_temperature_c_b,mean_minimum_temperature_c_a,mean_minimum_temperature_c_b,mean_vpd_kpa_a,mean_vpd_kpa_b,mean_wind_speed_m_s_a,mean_wind_speed_m_s_b
565,5720,123912,345999,0.296803900992,0.5,10,euclidean,0.133341693297,0.296803900992,2.72742160057,weather,8,8,8,8,141.460065703,161.637980993,west,west,JJA,JJA,2006-06-23,2016-07-23,2006-06-30,2016-07-30,32.7,34.6375,21.2125,22.725,3.18,3.02125,2.5375,3.1
5218,6286,328057,371539,0.296818147077,0.5,10,euclidean,0.60613580357,0.296818147077,0.977820270763,weather,4,4,4,4,1.28795203978,2.36124540627,intermountain,intermountain,SON,SON,2015-09-16,2017-09-14,2015-09-19,2017-09-17,27.55,26.975,9.2,12.775,1.4075,1.42,5.025,5.45
3633,8821,246505,813,0.296974249606,0.5,10,euclidean,0.207639364778,0.296974249606,1.93002237797,weather,4,4,4,4,2.79056275286,3.43453877275,east,east,DJF,DJF,2012-01-03,2001-01-02,2012-01-06,2001-01-05,17.725,16.925,-1.725,2.425,0.6675,0.68,2.75,2.95
4542,8082,286795,440465,0.29707968372,0.5,10,euclidean,0.287682072452,0.29707968372,0.495158287712,weather,3,3,3,3,0.858634693187,0.643976019891,west,west,MAM,MAM,2014-03-13,2021-03-12,2014-03-15,2021-03-14,16.25,14.15,0.25,2.11666666667,0.76,0.69,2.23333333333,1.66666666667
6182,6710,366528,387577,0.297175022911,0.5,10,euclidean,0.0870113769896,0.297175022911,0.637883923662,weather,3,3,3,3,2.57590407956,2.36124540627,west,west,JJA,JJA,2017-07-21,2018-07-22,2017-07-23,2018-07-24,33.95,34.7166666667,17.3166666667,17.8166666667,2.75,3.08666666667,2.3,1.83333333333
6626,7482,38459,420948,0.297276502662,0.5,10,euclidean,0.559615787935,0.297276502662,0.212210694734,weather,3,3,3,3,0.858634693187,1.50261071308,central,central,MAM,MAM,2003-05-24,2020-03-08,2003-05-26,2020-03-10,23.05,23.35,12.1166666667,9.55,0.616666666667,0.823333333333,3.13333333333,3.63333333333
2130,2666,189695,214061,0.297554841983,0.5,10,euclidean,0.223143551314,0.297554841983,1.15995362187,weather,3,3,3,3,0.858634693187,1.07329336648,intermountain,intermountain,JJA,JJA,2009-06-15,2010-08-27,2009-06-17,2010-08-29,29.75,33.5833333333,15.8833333333,17.35,2.21666666667,2.12,4.73333333333,4.93333333333
1211,8840,149114,8228,0.297581415531,0.5,10,euclidean,0.133531392625,0.297581415531,0.469669969629,weather,3,3,3,3,1.50261071308,1.71726938637,intermountain,intermountain,SON,SON,2007-09-03,2001-09-20,2007-09-05,2001-09-22,31.55,30.65,18.0833333333,13.7833333333,1.39666666667,1.39333333333,3.63333333333,3.63333333333
494,3156,120096,229780,0.29767381726,0.5,10,euclidean,0.109199291965,0.29767381726,1.68423383104,weather,3,3,3,3,6.22510152561,5.58112550572,intermountain,intermountain,MAM,MAM,2006-04-16,2011-04-10,2006-04-18,2011-04-12,26.25,27.05,6.21666666667,10.3833333333,1.87666666667,1.97666666667,5.63333333333,5.53333333333
503,4944,120482,306537,0.297695734892,0.5,10,euclidean,0.310154928304,0.297695734892,1.92211160635,weather,3,3,3,3,2.36124540627,3.21988009945,west,west,MAM,MAM,2006-04-20,2015-03-10,2006-04-22,2015-03-12,16.0833333333,15.3833333333,1.55,0.716666666667,0.68,0.663333333333,3.83333333333,3.1
3322,8655,236650,67597,0.298078602423,0.5,10,euclidean,0.0953101798043,0.298078602423,1.92979330893,weather,5,5,5,5,4.72249081253,4.29317346594,west,west,JJA,JJA,2011-07-12,2004-07-09,2011-07-16,2004-07-13,29.73,30.57,8.31,9.45,2.036,2.202,4.1,4.76
2982,2996,224951,225241,0.298124945401,0.5,10,euclidean,0.69314718056,0.298124945401,0.990316575424,weather,3,3,3,3,0.643976019891,1.28795203978,intermountain,intermountain,DJF,DJF,2011-02-15,2011-02-18,2011-02-17,2011-02-20,23.3166666667,25.1166666667,1.88333333333,5.51666666667,1.52333333333,1.37,5.46666666667,5.33333333333
2717,6275,216353,371050,0.298133729666,0.5,10,euclidean,0.287682072452,0.298133729666,1.64436945958,weather,3,3,3,3,2.57590407956,1.93192805967,west,west,SON,SON,2010-09-13,2017-09-09,2010-09-15,2017-09-11,24.95,27.5166666667,11.5166666667,14.6833333333,1.80333333333,1.68666666667,2.9,3.1
6540,7516,381885,423027,0.29834106392,0.5,10,euclidean,0.0540672212703,0.29834106392,1.16703738655,weather,4,4,4,4,4.07851479264,3.86385611934,intermountain,intermountain,MAM,MAM,2018-04-04,2020-04-02,2018-04-07,2020-04-05,12.1,13.175,-1.075,-1.15,0.6825,0.32,6.025,5.625
1284,6373,152520,374704,0.298368802808,0.5,10,euclidean,0.192371892647,0.298368802808,2.18819918296,weather,3,3,3,3,7.0837362188,8.58634693187,intermountain,intermountain,SON,SON,2007-10-17,2017-11-01,2007-10-19,2017-11-03,22.7166666667,25.9166666667,4.71666666667,3.95,1.46333333333,1.48,5.63333333333,5.13333333333
4657,6621,290375,384439,0.298446032759,0.5,10,euclidean,0.430782916092,0.298446032759,1.21805689139,weather,7,7,7,7,11.1622510114,17.1726938637,intermountain,intermountain,MAM,MAM,2014-05-04,2018-05-05,2014-05-10,2018-05-11,33.4214285714,32.8214285714,12.0214285714,14.3214285714,2.65857142857,2.76285714286,5.28571428571,4.67142857143
8139,9000,441992,90650,0.298706384113,0.5,10,euclidean,0.575364144904,0.298706384113,1.06612261948,weather,4,4,4,4,1.93192805967,3.43453877275,west,west,MAM,MAM,2021-04-02,2005-03-07,2021-04-05,2005-03-10,15.325,17.95,2.45,3.225,1,0.6775,3.275,3.05
1696,2103,169402,18794,0.298911733735,0.5,10,euclidean,0.374693449441,0.298911733735,0.696280710012,weather,4,4,4,4,2.36124540627,3.43453877275,intermountain,intermountain,JJA,JJA,2008-08-04,2002-06-05,2008-08-07,2002-06-08,24.175,27.375,6.95,7.05,1.2975,1.6025,3.15,3.15
6230,7155,369516,406209,0.298968767725,0.5,10,euclidean,0.367724780125,0.298968767725,0.520046558569,weather,5,5,5,5,2.79056275286,1.93192805967,intermountain,intermountain,JJA,JJA,2017-08-25,2019-07-11,2017-08-29,2019-07-15,30.67,32.95,15.25,18.65,1.318,1.232,2.94,3.18
8553,8562,59711,59975,0.299813107446,0.5,10,euclidean,0.671168273841,0.299813107446,1.48386118709,weather,4,4,4,4,9.65964029836,4.93714948583,intermountain,intermountain,MAM,MAM,2004-04-03,2004-04-05,2004-04-06,2004-04-08,19.35,19.9,4.725,6.375,0.7975,0.825,3.05,3.75
716,2180,127549,191340,0.300237909119,0.5,10,euclidean,0.176930708159,0.300237909119,1.11526192011,weather,7,7,7,7,7.94237091198,6.6544188722,west,west,JJA,JJA,2006-08-22,2009-07-09,2006-08-28,2009-07-15,21.0357142857,23.1785714286,6.85,8.73571428571,1.20285714286,1.50571428571,3.7,3.97142857143
3326,6666,236759,386348,0.300275557174,0.5,10,euclidean,0.0465200156349,0.300275557174,3.10800339485,weather,9,9,9,9,58.60181781,61.3923805629,west,west,JJA,JJA,2011-07-14,2018-06-25,2011-07-22,2018-07-03,33.2611111111,33.1722222222,14.3833333333,15.5277777778,2.67,2.51444444444,3.43333333333,4.12222222222
2357,4767,202145,29764,0.300292123206,0.5,10,euclidean,0.374693449441,0.300292123206,1.41356469744,weather,5,5,5,5,2.36124540627,3.43453877275,east,east,DJF,DJF,2010-02-16,2003-01-22,2010-02-20,2003-01-26,18.45,19.61,6.25,5.13,0.776,0.62,3.28,3.94
248,1770,111626,172099,0.300293968335,0.5,10,euclidean,0.470003629246,0.300293968335,0.693474427933,weather,5,5,5,5,1.07329336648,1.71726938637,central,central,SON,SON,2005-11-05,2008-09-26,2005-11-09,2008-09-30,29.01,27.67,15.85,11.99,0.972,1.144,3.54,3.58
1034,4653,141340,290190,0.300669821002,0.5,10,euclidean,0.182321556794,0.300669821002,1.05209384764,weather,4,4,4,4,1.07329336648,1.28795203978,central,central,MAM,MAM,2007-05-21,2014-05-02,2007-05-24,2014-05-05,30.25,27.05,14.975,14.675,1.435,1.2775,3.6,3.15
5020,7489,309592,421560,0.300866033698,0.5,10,euclidean,0,0.300866033698,0,weather,3,3,3,3,0.643976019891,0.643976019891,central,central,MAM,MAM,2015-05-02,2020-03-15,2015-05-04,2020-03-17,28.1833333333,27.95,11.7833333333,15.6833333333,1.29666666667,1.21,2.3,2.63333333333
491,3050,119972,227635,0.301090866623,0.5,10,euclidean,0.60353502187,0.301090866623,1.16090582989,weather,4,4,4,4,7.51305356539,13.738155091,central,central,MAM,MAM,2006-04-14,2011-03-23,2006-04-17,2011-03-26,24.175,28.1,9.025,9.275,1.3925,1.25,4.925,4.675
885,6449,134141,377801,0.301426863285,0.5,10,euclidean,0.287682072452,0.301426863285,2.05006380325,weather,3,3,3,3,1.93192805967,2.57590407956,west,west,DJF,DJF,2007-02-02,2018-01-30,2007-02-04,2018-02-01,12.25,12.6166666667,1.88333333333,-0.05,0.323333333333,0.726666666667,3.2,3.23333333333
2250,8356,197479,51570,0.301574044157,0.5,10,euclidean,0.451985123743,0.301574044157,0.960132690035,weather,4,4,4,4,2.36124540627,1.50261071308,east,east,SON,SON,2009-09-08,2003-10-31,2009-09-11,2003-11-03,30.725,28.375,21.925,18.65,0.7775,0.7075,4.525,4.825
