fire_id,timestamp,_merge,in_event_catalog,reason
166473,2008-07-29,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-30,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-31,left_only,False,daily_id_absent_from_event_catalog
166473,2008-08-01,left_only,False,daily_id_absent_from_event_catalog
166567,2008-06-29,left_only,False,daily_id_absent_from_event_catalog
166580,2008-06-22,left_only,False,daily_id_absent_from_event_catalog
166580,2008-06-24,left_only,False,daily_id_absent_from_event_catalog
166580,2008-06-26,left_only,False,daily_id_absent_from_event_catalog
166580,2008-06-27,left_only,False,daily_id_absent_from_event_catalog
166580,2008-06-28,left_only,False,daily_id_absent_from_event_catalog
166580,2008-06-29,left_only,False,daily_id_absent_from_event_catalog
166580,2008-06-30,left_only,False,daily_id_absent_from_event_catalog
166580,2008-07-02,left_only,False,daily_id_absent_from_event_catalog
167366,2008-07-13,left_only,False,daily_id_absent_from_event_catalog
169431,2008-08-06,left_only,False,daily_id_absent_from_event_catalog
169824,2008-08-13,left_only,False,daily_id_absent_from_event_catalog
172548,2008-10-02,left_only,False,daily_id_absent_from_event_catalog
176382,2008-11-16,left_only,False,daily_id_absent_from_event_catalog
176382,2008-11-21,left_only,False,daily_id_absent_from_event_catalog
176382,2008-11-25,left_only,False,daily_id_absent_from_event_catalog
176959,2008-12-15,left_only,False,daily_id_absent_from_event_catalog
177685,2009-01-12,left_only,False,daily_id_absent_from_event_catalog
177982,2009-01-22,left_only,False,daily_id_absent_from_event_catalog
178247,2009-01-27,left_only,False,daily_id_absent_from_event_catalog
178247,2009-01-30,left_only,False,daily_id_absent_from_event_catalog
178247,2009-02-01,left_only,False,daily_id_absent_from_event_catalog
178770,2009-02-07,left_only,False,daily_id_absent_from_event_catalog
181072,2009-03-06,left_only,False,daily_id_absent_from_event_catalog
181072,2009-03-12,left_only,False,daily_id_absent_from_event_catalog
181072,2009-03-15,left_only,False,daily_id_absent_from_event_catalog
181424,2009-03-10,left_only,False,daily_id_absent_from_event_catalog
181797,2009-03-19,left_only,False,daily_id_absent_from_event_catalog
182512,2009-04-04,left_only,False,daily_id_absent_from_event_catalog
182538,2009-03-29,left_only,False,daily_id_absent_from_event_catalog
182907,2009-04-05,left_only,False,daily_id_absent_from_event_catalog
183054,2009-04-05,left_only,False,daily_id_absent_from_event_catalog
187397,2009-05-09,left_only,False,daily_id_absent_from_event_catalog
189322,2009-06-06,left_only,False,daily_id_absent_from_event_catalog
189428,2009-06-08,left_only,False,daily_id_absent_from_event_catalog
189428,2009-06-09,left_only,False,daily_id_absent_from_event_catalog
189428,2009-06-10,left_only,False,daily_id_absent_from_event_catalog
189428,2009-06-13,left_only,False,daily_id_absent_from_event_catalog
189428,2009-06-15,left_only,False,daily_id_absent_from_event_catalog
189428,2009-06-16,left_only,False,daily_id_absent_from_event_catalog
189437,2009-06-12,left_only,False,daily_id_absent_from_event_catalog
189479,2009-06-10,left_only,False,daily_id_absent_from_event_catalog
189747,2009-06-16,left_only,False,daily_id_absent_from_event_catalog
190122,2009-06-22,left_only,False,daily_id_absent_from_event_catalog
190122,2009-06-23,left_only,False,daily_id_absent_from_event_catalog
190122,2009-06-24,left_only,False,daily_id_absent_from_event_catalog
190125,2009-06-21,left_only,False,daily_id_absent_from_event_catalog
190125,2009-06-22,left_only,False,daily_id_absent_from_event_catalog
