kind,alpha,predictor_set,response,n,cohort_n,cohort_hash,r2,reference,delta_r2,status,stratum_variable,stratum_value
region_block,1,comprehensive_plus_max,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0281777990213,mean_only,0.0431306920298,evaluated,duration_days,3
region_block,1,length_only,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00205115181972,mean_only,0,evaluated,duration_days,3
region_block,1,length_only,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00356503103871,mean_only,0,evaluated,duration_days,3
region_block,1,length_only,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00157590725382,mean_only,0,evaluated,duration_days,3
region_block,1,length_only,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0109847159393,mean_only,0,evaluated,duration_days,3
region_block,1,length_only,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0131034057277,mean_only,0,evaluated,duration_days,3
region_block,1,length_only,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.000958731654346,mean_only,0,evaluated,duration_days,3
region_block,1,length_only,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,length_only,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0149528930086,mean_only,0,evaluated,duration_days,3
region_block,1,length_only,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0149528930086,mean_only,0,evaluated,duration_days,3
region_block,1,length_plus_max,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00245760481311,mean_only,-0.00040645299339,evaluated,duration_days,3
region_block,1,length_plus_max,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00319144388797,mean_only,0.000373587150739,evaluated,duration_days,3
region_block,1,length_plus_max,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0026628315171,mean_only,-0.00108692426328,evaluated,duration_days,3
region_block,1,length_plus_max,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00638152297901,mean_only,0.00460319296031,evaluated,duration_days,3
region_block,1,length_plus_max,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0114892207835,mean_only,0.00161418494423,evaluated,duration_days,3
region_block,1,length_plus_max,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00108675625011,mean_only,0.00204548790445,evaluated,duration_days,3
region_block,1,length_plus_max,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,length_plus_max,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.013574923197,mean_only,0.00137796981155,evaluated,duration_days,3
region_block,1,length_plus_max,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.013574923197,mean_only,0.00137796981155,evaluated,duration_days,3
region_block,1,length_plus_core,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00227893985235,mean_only,0.00433009167207,evaluated,duration_days,3
region_block,1,length_plus_core,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00328533199142,mean_only,0.00685036303012,evaluated,duration_days,3
region_block,1,length_plus_core,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00182688438808,mean_only,-0.000250977134254,evaluated,duration_days,3
region_block,1,length_plus_core,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0175674993364,mean_only,0.0285522152757,evaluated,duration_days,3
region_block,1,length_plus_core,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0344442692112,mean_only,0.0475476749389,evaluated,duration_days,3
region_block,1,length_plus_core,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.000713499277251,mean_only,0.0016722309316,evaluated,duration_days,3
region_block,1,length_plus_core,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,length_plus_core,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.024886759482,mean_only,0.0398396524906,evaluated,duration_days,3
region_block,1,length_plus_core,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.024886759482,mean_only,0.0398396524906,evaluated,duration_days,3
region_block,1,length_plus_core_max,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00129511060197,mean_only,0.00334626242169,evaluated,duration_days,3
region_block,1,length_plus_core_max,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00279402357952,mean_only,0.00635905461823,evaluated,duration_days,3
region_block,1,length_plus_core_max,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00315769479932,mean_only,-0.0015817875455,evaluated,duration_days,3
region_block,1,length_plus_core_max,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0179562233295,mean_only,0.0289409392688,evaluated,duration_days,3
region_block,1,length_plus_core_max,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0346729918327,mean_only,0.0477763975605,evaluated,duration_days,3
region_block,1,length_plus_core_max,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0011512743919,mean_only,0.00211000604625,evaluated,duration_days,3
region_block,1,length_plus_core_max,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,length_plus_core_max,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0249194446418,mean_only,0.0398723376503,evaluated,duration_days,3
region_block,1,length_plus_core_max,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0249194446418,mean_only,0.0398723376503,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00243606614877,mean_only,-0.000384914329053,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,3.48071955899e-05,mean_only,0.0035998382343,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.003232565028,mean_only,-0.00165665777417,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0145763459242,mean_only,0.0255610618635,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0290583428507,mean_only,0.0421617485785,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00131239693708,mean_only,0.00227112859143,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0223283935439,mean_only,0.0372812865525,evaluated,duration_days,3
region_block,1,core_quantile_exceedance,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0223283935439,mean_only,0.0372812865525,evaluated,duration_days,3
region_block,1,mean_only,front_loaded_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.0032061766275,mean_only,0,evaluated,duration_days,4
region_block,1,mean_only,late_growth_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.00504806177504,mean_only,0,evaluated,duration_days,4
region_block,1,mean_only,peak_timing,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.000368125075547,mean_only,0,evaluated,duration_days,4
region_block,1,mean_only,terminal_taper_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.0101904101823,mean_only,0,evaluated,duration_days,4
region_block,1,mean_only,normalized_entropy,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.0189395935592,mean_only,0,evaluated,duration_days,4
region_block,1,mean_only,pulse_count,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.000115989383602,mean_only,0,evaluated,duration_days,4
region_block,1,mean_only,reactivation_count,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.000151191399896,mean_only,0,evaluated,duration_days,4
