matching_space,rep,median_mismatch,mismatch_gt1_fraction,n_pairs
morphology,11,0.864982169852,0.400635930048,3145
morphology,12,0.882500057539,0.406995230525,3145
morphology,13,0.874331714599,0.406677265501,3145
morphology,14,0.866189796402,0.401271860095,3145
morphology,15,0.866179159825,0.4,3145
morphology,16,0.860086573982,0.392686804452,3145
morphology,17,0.864121103363,0.402225755167,3145
morphology,18,0.873013519872,0.408585055644,3145
morphology,19,0.897566921046,0.417806041335,3145
morphology,20,0.87291992905,0.396820349762,3145
morphology,21,0.882417349765,0.415898251192,3145
morphology,22,0.878815592613,0.40413354531,3145
morphology,23,0.881073240171,0.409538950715,3145
morphology,24,0.866868506634,0.396184419714,3145
morphology,25,0.871210818673,0.405087440382,3145
morphology,26,0.873542462832,0.405723370429,3145
morphology,27,0.88315631206,0.403497615262,3145
morphology,28,0.876616658189,0.401589825119,3145
morphology,29,0.873953620617,0.404769475358,3145
morphology,30,0.883568221124,0.408903020668,3145
morphology,31,0.855976511818,0.392368839428,3145
morphology,32,0.863483610176,0.399682034976,3145
morphology,33,0.860786176395,0.40413354531,3145
morphology,34,0.864413075927,0.393640699523,3145
morphology,35,0.859163401172,0.400317965024,3145
morphology,36,0.853274933271,0.395230524642,3145
morphology,37,0.860475496269,0.398728139905,3145
morphology,38,0.865844192668,0.390143084261,3145
morphology,39,0.859597546731,0.393322734499,3145
morphology,40,0.860147033037,0.39586645469,3145
morphology,41,0.859986021735,0.398410174881,3145
morphology,42,0.858347641364,0.401589825119,3145
morphology,43,0.864082078654,0.394594594595,3145
morphology,44,0.876643082064,0.40413354531,3145
morphology,45,0.868258818438,0.396502384738,3145
morphology,46,0.869416393003,0.402861685215,3145
morphology,47,0.884925414837,0.420349761526,3145
morphology,48,0.855404716705,0.390779014308,3145
morphology,49,0.881444630199,0.411446740859,3145
morphology,50,0.872429131087,0.412082670906,3145
morphology,51,0.879161681836,0.410492845787,3145
morphology,52,0.867144515708,0.409538950715,3145
morphology,53,0.865731312372,0.394912559618,3145
morphology,54,0.870814878536,0.400953895072,3145
morphology,55,0.876932072578,0.4,3145
morphology,56,0.873927697579,0.401907790143,3145
morphology,57,0.856501485517,0.393004769475,3145
morphology,58,0.888133023502,0.418759936407,3145
morphology,59,0.876988793781,0.399682034976,3145
morphology,60,0.86970206085,0.397456279809,3145
morphology,61,0.865420257798,0.4,3145
morphology,62,0.866237177007,0.411446740859,3145
morphology,63,0.852902513146,0.386645468998,3145
morphology,64,0.875439732053,0.403179650238,3145
morphology,65,0.882721726672,0.417170111288,3145
morphology,66,0.87433269002,0.399046104928,3145
morphology,67,0.878119407653,0.406995230525,3145
morphology,68,0.872864344976,0.404451510334,3145
morphology,69,0.881904073315,0.413354531002,3145
morphology,70,0.881340593687,0.40826709062,3145
morphology,71,0.875425263618,0.405723370429,3145
morphology,72,0.868067738661,0.401907790143,3145
morphology,73,0.863457878043,0.403497615262,3145
morphology,74,0.862679953093,0.401271860095,3145
morphology,75,0.865623658293,0.406359300477,3145
morphology,76,0.864335222563,0.406677265501,3145
morphology,77,0.860203841831,0.406041335453,3145
morphology,78,0.870464882549,0.403179650238,3145
morphology,79,0.861616649197,0.394276629571,3145
morphology,80,0.87169923323,0.401589825119,3145
morphology,81,0.881369915824,0.403815580286,3145
morphology,82,0.877491185373,0.405087440382,3145
morphology,83,0.864810470401,0.392686804452,3145
morphology,84,0.853927471464,0.392368839428,3145
morphology,85,0.85747469485,0.402225755167,3145
morphology,86,0.870955745369,0.400635930048,3145
morphology,87,0.86342111169,0.39173290938,3145
morphology,88,0.852620933321,0.389507154213,3145
morphology,89,0.861042811354,0.392686804452,3145
morphology,90,0.868361599986,0.390143084261,3145
morphology,91,0.868602274296,0.399682034976,3145
morphology,92,0.869588496675,0.403497615262,3145
morphology,93,0.875540656915,0.399364069952,3145
morphology,94,0.863089949957,0.398728139905,3145
morphology,95,0.880069067977,0.41240063593,3145
morphology,96,0.877098487107,0.401589825119,3145
morphology,97,0.880008465709,0.406359300477,3145
morphology,98,0.865608171654,0.40826709062,3145
morphology,99,0.875085859741,0.403179650238,3145
