rep,feature,PC1,PC2,PC3,PC4,PC5
1,allocation_06,-0.222889809442,0.105364327048,0.353650309192,0.28165883206,0.00776976122452
1,allocation_07,-0.117329252045,0.271961699745,0.297196175241,0.0404731009963,-0.223995209532
1,allocation_08,-0.0673842524878,0.327324220821,0.161248550135,-0.299880416558,-0.26482118628
1,allocation_09,-0.050520334381,0.321812669606,0.108657175389,-0.349616620434,-0.18584209518
1,allocation_10,0.0634934937244,0.29519301996,-0.279629218278,-0.15671865501,0.36414640761
1,allocation_11,0.0805005881017,0.292066074679,-0.31930087056,-0.089532335306,0.347599721489
1,allocation_12,0.12168147323,0.223477711563,-0.346544018412,0.199024721065,0.021775030826
1,allocation_13,0.249428269332,0.0712780674984,-0.260907342068,0.389604641262,-0.229395527277
1,allocation_14,0.271843665813,-0.0364014267493,-0.136864973058,0.377951915128,-0.309467202176
1,allocation_15,0.298209555771,-0.140573666342,0.097397512465,0.100316069693,-0.207917157512
1,allocation_16,0.307802422215,-0.176756360855,0.159187011185,-0.0911507869116,0.0434321723778
1,allocation_17,0.303256430166,-0.185886694426,0.171356001712,-0.154466594245,0.153990826728
1,allocation_18,0.299683604593,-0.187026961816,0.170970907398,-0.160605686118,0.155329667768
1,allocation_19,0.298220150428,-0.187222029288,0.169049022012,-0.162376050763,0.157022379363
2,allocation_00,-0.171240452257,-0.300985489956,-0.209117776287,-0.177730663285,-0.223015673318
2,allocation_01,-0.174646866722,-0.301904030937,-0.212068849822,-0.176232174489,-0.222264483805
2,allocation_02,-0.193088384978,-0.3012865888,-0.203339886455,-0.141824341231,-0.136060082068
2,allocation_03,-0.215688209875,-0.280412807112,-0.136790228141,-0.00545177427185,0.114549511672
2,allocation_04,-0.234414880119,-0.198150288208,0.0350549489212,0.240646008144,0.401269970109
2,allocation_05,-0.243194658804,-0.0376257677413,0.295457022239,0.339839108054,0.190428037406
2,allocation_06,-0.233744235165,0.0835365991681,0.347907528927,0.279237387588,0.00441776261898
2,allocation_07,-0.149136152677,0.257481682356,0.288596517453,0.0312416399968,-0.226571614249
2,allocation_08,-0.107088830513,0.319031948842,0.153356117634,-0.301205096819,-0.250784740788
2,allocation_09,-0.093331243838,0.31520855693,0.108771020959,-0.336978525886,-0.193209480428
2,allocation_10,0.0275645377468,0.295058400543,-0.286905664626,-0.159246128354,0.381553747382
2,allocation_11,0.0465528370972,0.293755975472,-0.325358332507,-0.0932229435595,0.360814203829
2,allocation_12,0.10006092143,0.228847897046,-0.352623386386,0.210986398015,-0.0182144415958
2,allocation_13,0.243475845075,0.0923402092138,-0.258641403171,0.385905969053,-0.240936072069
2,allocation_14,0.277373610225,-0.012150807682,-0.12984451516,0.368451171087,-0.295283165249
2,allocation_15,0.309515521986,-0.109929154899,0.0972483780691,0.0986983176763,-0.179163641883
2,allocation_16,0.319663476571,-0.141432836605,0.165824083677,-0.0970855659338,0.050933799123
2,allocation_17,0.319313567199,-0.14858391477,0.173318077467,-0.155276594341,0.141492339207
2,allocation_18,0.313859722401,-0.150134162597,0.173290204273,-0.164166672442,0.148778477693
2,allocation_19,0.312426845122,-0.150537848632,0.172460700088,-0.164642578181,0.148922151102
3,allocation_00,-0.196440144809,-0.281035800034,-0.209958371189,-0.179623445293,-0.191551046882
3,allocation_01,-0.20087506121,-0.282214983659,-0.214225609026,-0.178903821785,-0.200345271788
3,allocation_02,-0.218719026389,-0.279125321728,-0.205158960987,-0.139751767416,-0.140552604748
3,allocation_03,-0.238600787422,-0.256369340896,-0.141869784622,-0.0110983966487,0.0866131708856
3,allocation_04,-0.247395667314,-0.176714097233,0.0350659237821,0.240924115259,0.372641898472
3,allocation_05,-0.236431284606,-0.0175969732866,0.298065571679,0.339729667252,0.196515005885
3,allocation_06,-0.220122960315,0.105343552412,0.354643853458,0.274887293844,0.0122846322083
3,allocation_07,-0.124370781336,0.273839491956,0.294249005542,0.0276823306368,-0.213072941244
3,allocation_08,-0.0770526161299,0.328898478129,0.147854681623,-0.312432928531,-0.261363997277
3,allocation_09,-0.0617292625356,0.324814147714,0.0968460439727,-0.352587633337,-0.19042377888
3,allocation_10,0.0591100164457,0.293900062779,-0.29043050237,-0.144299364813,0.364099162089
3,allocation_11,0.0754774845843,0.291382139208,-0.325123924929,-0.0793577145548,0.355348482317
3,allocation_12,0.119364156576,0.223299762953,-0.349523811744,0.214845567701,0.0201409634386
3,allocation_13,0.252279321956,0.067811321629,-0.25320650142,0.380457344708,-0.239806108627
3,allocation_14,0.278600585745,-0.0366004672412,-0.129544690403,0.354453263223,-0.315771003325
3,allocation_15,0.300349036473,-0.134892021679,0.0902895465762,0.0949380403726,-0.245847419233
3,allocation_16,0.308747947415,-0.166231739244,0.163005127096,-0.100167290235,0.0282372650032
3,allocation_17,0.30589927781,-0.175897640205,0.171559170872,-0.159365797546,0.168164753256
3,allocation_18,0.30205286507,-0.176875731951,0.169246685776,-0.167390087633,0.177125073433
3,allocation_19,0.300784003232,-0.176920029307,0.167995439488,-0.168004847545,0.175937330696
4,allocation_00,-0.181167629361,-0.288882416775,-0.214498985658,-0.176229917744,-0.222604989822
4,allocation_01,-0.18448535259,-0.28983246689,-0.216840834347,-0.175803604106,-0.224087294962
4,allocation_02,-0.202434316655,-0.287960022976,-0.209186663018,-0.14131684171,-0.13618034123
4,allocation_03,-0.224086753898,-0.263924606072,-0.146282583717,-0.0173025776479,0.10681896859
4,allocation_04,-0.242567580269,-0.18994487548,0.0303702727035,0.235725708993,0.402975135846
4,allocation_05,-0.243614764103,-0.0357233644494,0.294312046507,0.343764413207,0.184008477622
4,allocation_06,-0.23056479388,0.0891181795662,0.354895174707,0.275931651126,-0.00926620273002
4,allocation_07,-0.136551947857,0.263284159116,0.297540013293,0.0218768653749,-0.214567549946
4,allocation_08,-0.0896900726487,0.322467081776,0.156566810459,-0.305886369669,-0.265017405416
4,allocation_09,-0.0737266123817,0.31858429269,0.100627328731,-0.347985995757,-0.173924483771
4,allocation_10,0.0396455823022,0.297188128559,-0.281214077913,-0.157405838158,0.372323679018
4,allocation_11,0.0565147010645,0.296466249369,-0.320790784431,-0.0766868119125,0.354149201162
4,allocation_12,0.103088742841,0.237730763574,-0.350567545247,0.20385206438,0.0103232909823
4,allocation_13,0.244318313024,0.0903175309401,-0.258854332483,0.392486725546,-0.251382973468
4,allocation_14,0.274732423873,-0.0179345757036,-0.132096789211,0.372232514346,-0.317167494087
4,allocation_15,0.308553454149,-0.12055177138,0.0941667941819,0.0809881921351,-0.176224650326
4,allocation_16,0.317042000863,-0.153965500292,0.159683535058,-0.0996341718008,0.0584077269144
4,allocation_17,0.315488379218,-0.162497296829,0.167427040849,-0.14849332241,0.146892971766
4,allocation_18,0.310820711832,-0.164237610447,0.164018098659,-0.15694104154,0.148326080243
4,allocation_19,0.309918765881,-0.164453104284,0.162819520178,-0.15736989591,0.146399690448
5,allocation_00,-0.182762919416,-0.289444527868,-0.214193253642,-0.174470085768,-0.228288738351
5,allocation_01,-0.18642731255,-0.290273612937,-0.217358076559,-0.175995060973,-0.227561297841
5,allocation_02,-0.203274881183,-0.288651647162,-0.209291923101,-0.147831634419,-0.148740910634
5,allocation_03,-0.229928259121,-0.261773249029,-0.137615926423,-0.0105700891979,0.132249920257
5,allocation_04,-0.244651330754,-0.182079373864,0.0414449931743,0.231829352321,0.395993462287
5,allocation_05,-0.242153916832,-0.0323252641543,0.295062773233,0.334489313775,0.185694484776
5,allocation_06,-0.230446144562,0.0892517543229,0.35246300936,0.270517659543,0.000731895023809
5,allocation_07,-0.128711637024,0.265349883619,0.294131175163,0.0310672306158,-0.234736272886
5,allocation_08,-0.0818935424008,0.32424039526,0.154167774786,-0.30169009024,-0.257749770584
5,allocation_09,-0.0684425797128,0.320016788117,0.108609386503,-0.341591067298,-0.186700847895
5,allocation_10,0.043277125775,0.29733067496,-0.283419550575,-0.157406637492,0.362083714854
5,allocation_11,0.0622583824712,0.294618745191,-0.320671769155,-0.0925160585231,0.348758021866
5,allocation_12,0.107017856451,0.228797218116,-0.347679111365,0.207043375022,0.0123565810692
5,allocation_13,0.247025464365,0.0827550438282,-0.257465263636,0.389047037102,-0.23046478746
5,allocation_14,0.275114571501,-0.0224674365998,-0.135479708497,0.375496763899,-0.295837520537
5,allocation_15,0.306255465151,-0.126628994459,0.0924748196327,0.106211876065,-0.207325283181
5,allocation_16,0.31631415266,-0.159158250912,0.162120638238,-0.0954735500224,0.0450042788395
5,allocation_17,0.313917522998,-0.16627730593,0.169533141679,-0.158795413841,0.151079218717
5,allocation_18,0.310060033564,-0.167374124406,0.168921973897,-0.165810444067,0.154043117537
5,allocation_19,0.309288076012,-0.167528132504,0.168098179395,-0.16577701792,0.153988482534
6,allocation_00,-0.172621288167,-0.293760996254,-0.217854488404,-0.179384358502,-0.23147808214
6,allocation_01,-0.176973381992,-0.295179464862,-0.220184881436,-0.180579467962,-0.232400157241
