kind,fold,stage,feature,center,scale,train_n
random_fire,3,state_plus_weather,maximum_temperature_c,25.9252128291,7.20206973211,70714
random_fire,3,state_plus_weather,minimum_temperature_c,11.0407005685,7.37008012634,70714
random_fire,3,state_plus_weather,vpd_kpa,1.30477331222,0.718629426102,70714
random_fire,3,state_plus_weather,wind_speed_m_s,3.816176429,1.60835104344,70714
random_fire,3,state_weather_interactions,current_growth_log1p,0.853428375142,0.826843716011,70714
random_fire,3,state_weather_interactions,previous_growth_log1p,0.846060616747,0.828870637645,70714
random_fire,3,state_weather_interactions,cumulative_log1p,1.96689501339,1.33210927499,70714
random_fire,3,state_weather_interactions,elapsed_log1p,1.67768879172,0.736087713021,70714
random_fire,3,state_weather_interactions,maximum_temperature_c,25.9252128291,7.20206973211,70714
random_fire,3,state_weather_interactions,minimum_temperature_c,11.0407005685,7.37008012634,70714
random_fire,3,state_weather_interactions,vpd_kpa,1.30477331222,0.718629426102,70714
random_fire,3,state_weather_interactions,wind_speed_m_s,3.816176429,1.60835104344,70714
random_fire,3,state_weather_interactions,maximum_temperature_c_x_current_growth_log1p,22.2189816058,23.826949415,70714
random_fire,3,state_weather_interactions,maximum_temperature_c_x_previous_growth_log1p,22.0141068259,23.8511671899,70714
random_fire,3,state_weather_interactions,minimum_temperature_c_x_current_growth_log1p,9.11364757349,11.8870887898,70714
random_fire,3,state_weather_interactions,minimum_temperature_c_x_previous_growth_log1p,9.01790274971,11.8288884232,70714
random_fire,3,state_weather_interactions,vpd_kpa_x_current_growth_log1p,1.23982184861,1.79008485871,70714
random_fire,3,state_weather_interactions,vpd_kpa_x_previous_growth_log1p,1.22192817435,1.77587047328,70714
random_fire,3,state_weather_interactions,wind_speed_m_s_x_current_growth_log1p,3.32573154328,3.8489884614,70714
random_fire,3,state_weather_interactions,wind_speed_m_s_x_previous_growth_log1p,3.27509089369,3.78093884943,70714
random_fire,4,autoregressive,current_growth_log1p,0.854622811728,0.826984734017,71001
random_fire,4,autoregressive,previous_growth_log1p,0.847303032273,0.829890158863,71001
random_fire,4,autoregressive,cumulative_log1p,1.96949201618,1.32997113334,71001
random_fire,4,autoregressive,elapsed_log1p,1.67815402716,0.736634711441,71001
random_fire,4,weather_only,maximum_temperature_c,25.9221567302,7.20014266739,71001
random_fire,4,weather_only,minimum_temperature_c,11.0259510429,7.3702486302,71001
random_fire,4,weather_only,vpd_kpa,1.30481767862,0.716243556223,71001
random_fire,4,weather_only,wind_speed_m_s,3.80566611738,1.6007936763,71001
random_fire,4,state_plus_weather,current_growth_log1p,0.854622811728,0.826984734017,71001
random_fire,4,state_plus_weather,previous_growth_log1p,0.847303032273,0.829890158863,71001
random_fire,4,state_plus_weather,cumulative_log1p,1.96949201618,1.32997113334,71001
random_fire,4,state_plus_weather,elapsed_log1p,1.67815402716,0.736634711441,71001
random_fire,4,state_plus_weather,maximum_temperature_c,25.9221567302,7.20014266739,71001
random_fire,4,state_plus_weather,minimum_temperature_c,11.0259510429,7.3702486302,71001
random_fire,4,state_plus_weather,vpd_kpa,1.30481767862,0.716243556223,71001
random_fire,4,state_plus_weather,wind_speed_m_s,3.80566611738,1.6007936763,71001
random_fire,4,state_weather_interactions,current_growth_log1p,0.854622811728,0.826984734017,71001
random_fire,4,state_weather_interactions,previous_growth_log1p,0.847303032273,0.829890158863,71001
random_fire,4,state_weather_interactions,cumulative_log1p,1.96949201618,1.32997113334,71001
random_fire,4,state_weather_interactions,elapsed_log1p,1.67815402716,0.736634711441,71001
random_fire,4,state_weather_interactions,maximum_temperature_c,25.9221567302,7.20014266739,71001
random_fire,4,state_weather_interactions,minimum_temperature_c,11.0259510429,7.3702486302,71001
random_fire,4,state_weather_interactions,vpd_kpa,1.30481767862,0.716243556223,71001
random_fire,4,state_weather_interactions,wind_speed_m_s,3.80566611738,1.6007936763,71001
random_fire,4,state_weather_interactions,maximum_temperature_c_x_current_growth_log1p,22.260278764,23.8271651658,71001
random_fire,4,state_weather_interactions,maximum_temperature_c_x_previous_growth_log1p,22.0552050706,23.887161469,71001
random_fire,4,state_weather_interactions,minimum_temperature_c_x_current_growth_log1p,9.10056223725,11.7906716425,71001
random_fire,4,state_weather_interactions,minimum_temperature_c_x_previous_growth_log1p,8.99456032358,11.7318583317,71001
random_fire,4,state_weather_interactions,vpd_kpa_x_current_growth_log1p,1.24093223271,1.77627629698,71001
random_fire,4,state_weather_interactions,vpd_kpa_x_previous_growth_log1p,1.22337610124,1.76423398836,71001
random_fire,4,state_weather_interactions,wind_speed_m_s_x_current_growth_log1p,3.32909214571,3.86626468947,71001
random_fire,4,state_weather_interactions,wind_speed_m_s_x_previous_growth_log1p,3.278742746,3.8066867326,71001
year_block,0,autoregressive,current_growth_log1p,0.864746195904,0.838788817042,74787
year_block,0,autoregressive,previous_growth_log1p,0.857381669222,0.842771762813,74787
year_block,0,autoregressive,cumulative_log1p,1.98622859223,1.34717350905,74787
year_block,0,autoregressive,elapsed_log1p,1.68051628182,0.73976707808,74787
year_block,0,weather_only,maximum_temperature_c,25.8704554267,7.25645985306,74787
year_block,0,weather_only,minimum_temperature_c,10.9708044179,7.43873561852,74787
year_block,0,weather_only,vpd_kpa,1.30938839638,0.722428594673,74787
year_block,0,weather_only,wind_speed_m_s,3.82327008705,1.62119435322,74787
year_block,0,state_plus_weather,current_growth_log1p,0.864746195904,0.838788817042,74787
year_block,0,state_plus_weather,previous_growth_log1p,0.857381669222,0.842771762813,74787
year_block,0,state_plus_weather,cumulative_log1p,1.98622859223,1.34717350905,74787
year_block,0,state_plus_weather,elapsed_log1p,1.68051628182,0.73976707808,74787
year_block,0,state_plus_weather,maximum_temperature_c,25.8704554267,7.25645985306,74787
year_block,0,state_plus_weather,minimum_temperature_c,10.9708044179,7.43873561852,74787
year_block,0,state_plus_weather,vpd_kpa,1.30938839638,0.722428594673,74787
year_block,0,state_plus_weather,wind_speed_m_s,3.82327008705,1.62119435322,74787
year_block,0,state_weather_interactions,current_growth_log1p,0.864746195904,0.838788817042,74787
year_block,0,state_weather_interactions,previous_growth_log1p,0.857381669222,0.842771762813,74787
year_block,0,state_weather_interactions,cumulative_log1p,1.98622859223,1.34717350905,74787
year_block,0,state_weather_interactions,elapsed_log1p,1.68051628182,0.73976707808,74787
year_block,0,state_weather_interactions,maximum_temperature_c,25.8704554267,7.25645985306,74787
year_block,0,state_weather_interactions,minimum_temperature_c,10.9708044179,7.43873561852,74787
year_block,0,state_weather_interactions,vpd_kpa,1.30938839638,0.722428594673,74787
year_block,0,state_weather_interactions,wind_speed_m_s,3.82327008705,1.62119435322,74787
year_block,0,state_weather_interactions,maximum_temperature_c_x_current_growth_log1p,22.4495627256,24.1073524711,74787
year_block,0,state_weather_interactions,maximum_temperature_c_x_previous_growth_log1p,22.2608271151,24.2273277975,74787
year_block,0,state_weather_interactions,minimum_temperature_c_x_current_growth_log1p,9.15704491996,12.0297590886,74787
year_block,0,state_weather_interactions,minimum_temperature_c_x_previous_growth_log1p,9.06808592347,12.0087577863,74787
year_block,0,state_weather_interactions,vpd_kpa_x_current_growth_log1p,1.25807506466,1.80926166705,74787
