rep,n,subspace_overlap,pc1,first_five,axis1_cosine,axis2_cosine,axis3_cosine,axis4_cosine,axis5_cosine
55,10000,0.999703536944,0.341221308297,0.892244692597,0.997333873025,0.997316181436,0.999884017599,0.99963642217,0.999487830846
56,10000,0.998564480418,0.343376195149,0.892827052452,0.999693315819,0.999545771048,0.999719709611,0.999745855782,0.99674455845
57,10000,0.999681800197,0.343357198437,0.895119659398,0.999410031833,0.999352507052,0.99993140257,0.999561686782,0.999536284627
58,10000,0.999744036902,0.341382677704,0.892947048332,0.999930134857,0.999940221644,0.999378933539,0.99918395059,0.999425379606
59,10000,0.999106761205,0.343072636625,0.895430201222,0.996920621527,0.996947958173,0.999709614815,0.99964876117,0.99825031171
60,10000,0.999453439388,0.33365032389,0.891702605548,0.999577320745,0.999526555486,0.997771965086,0.997393825898,0.998650368393
61,10000,0.999465995663,0.337189090071,0.894220824997,0.998962271438,0.9989693281,0.999392835552,0.997453179119,0.99755909095
62,10000,0.997591157373,0.3442936568,0.894856183351,0.999488742423,0.99934095846,0.999233368759,0.999473820877,0.994032118778
63,10000,0.998802489107,0.343276486847,0.897032716984,0.998634232455,0.998357990011,0.999021644074,0.99899364518,0.996843490923
64,10000,0.998734762913,0.338274069604,0.894136727605,0.999933938092,0.999883640921,0.99954382484,0.998084434269,0.995583458433
65,10000,0.99936885958,0.338175262265,0.892971687405,0.999671291226,0.999479730719,0.999832630818,0.999572093225,0.998772020265
66,10000,0.999667609572,0.339657820157,0.894681113229,0.999890541648,0.999827224541,0.999353742857,0.998660460732,0.998869782264
67,10000,0.999367606075,0.338968231312,0.891477929527,0.999599226662,0.999573094301,0.999865110348,0.999586363715,0.998997747889
68,10000,0.99952938621,0.345712593082,0.898876523669,0.999768986336,0.999514629845,0.999329529209,0.999358087242,0.999409079542
69,10000,0.999429046135,0.340010280766,0.893308368539,0.999682173743,0.999632376274,0.998940406296,0.99817911988,0.999214393457
70,10000,0.998795431301,0.342605030667,0.89559201633,0.999714379606,0.999685830106,0.999733439322,0.999198427158,0.997537689488
71,10000,0.999838196928,0.341999954269,0.896113852881,0.999739576733,0.999800498347,0.999579070734,0.999207396879,0.999309691116
72,10000,0.999565032836,0.338010140412,0.892466088223,0.999000233058,0.999003064542,0.998698561631,0.998228482557,0.999164337398
73,10000,0.999694813338,0.337332384325,0.892861823367,0.999447978509,0.999455085946,0.999651887446,0.999719329505,0.999290274626
74,10000,0.998494940287,0.340502172761,0.894687483897,0.998941834344,0.998967444381,0.99979398464,0.9970167492,0.996029597895
75,10000,0.999522798831,0.34704364258,0.896791683253,0.999837832358,0.999784655324,0.999760847417,0.999575992164,0.999109503197
76,10000,0.999099473607,0.338023298874,0.893271714182,0.999798999871,0.999744113407,0.999725231592,0.999189295167,0.998042947141
77,10000,0.998698165492,0.341415551163,0.892718007302,0.999032545123,0.999012562918,0.999806489796,0.999629280833,0.997063617701
78,10000,0.998824671122,0.33804080964,0.891755048133,0.999904605191,0.999813355795,0.999688501976,0.998956821951,0.996469466224
79,10000,0.999571147913,0.343297260026,0.897816713283,0.999214808066,0.999135353552,0.99849311002,0.997787102864,0.998912797511
80,10000,0.999492950227,0.34020167952,0.89703451886,0.999377049987,0.999347205631,0.999798861375,0.999473250288,0.998864435641
81,10000,0.999392197157,0.334254538796,0.888972724569,0.999746328952,0.999594674246,0.999471814327,0.999629536978,0.998629110547
82,10000,0.999502804423,0.338995183022,0.89503360019,0.999709708754,0.999779405185,0.999858170741,0.999684381812,0.998896968759
83,10000,0.998869836363,0.339213439788,0.894441686805,0.999803524548,0.999643286362,0.999614383289,0.999221001478,0.997184525843
84,10000,0.999729859451,0.340524060928,0.896387601906,0.999790132585,0.999892137939,0.999904499046,0.999645079737,0.99960708299
85,10000,0.999242895013,0.343607982562,0.895509221815,0.999585481678,0.999395133967,0.999747708632,0.998778401596,0.998918492467
86,10000,0.999431515482,0.336973432877,0.892043748452,0.999289606256,0.999296181196,0.999779539587,0.999709712002,0.998812371871
87,10000,0.999184828554,0.341563258539,0.893156831345,0.997637695487,0.997662182605,0.999643460132,0.999473903008,0.998095457372
