null,rep,n,pc1,first_five,effective_dimension,hull_fill,occupied_fraction
dirichlet_1,58,4000,0.354505467094,0.901987075188,4.14804099121,0.749690515095,0.7525
dirichlet_10,58,4000,0.362515570441,0.912651829927,3.92285102061,0.954573549123,0.935
within_fire_permutation,59,4000,0.301240382253,0.859659824019,5.09527068359,0.859874578854,0.8325
dirichlet_1,59,4000,0.348441013947,0.901047054712,4.12910532212,0.757160047054,0.7475
dirichlet_10,59,4000,0.367977321461,0.91297176841,3.93788707217,0.967641058766,0.9275
within_fire_permutation,60,4000,0.301469160582,0.862112235961,5.0892564871,0.848295714863,0.8025
dirichlet_1,60,4000,0.347038617823,0.901601687034,4.15091678273,0.748680034323,0.7425
dirichlet_10,60,4000,0.359422705825,0.910961733979,4.00928209736,0.975378453861,0.9425
within_fire_permutation,61,4000,0.306870242638,0.860200725862,5.03515396957,0.860704851766,0.8125
dirichlet_1,61,4000,0.352056998352,0.903421431751,4.154241928,0.774414015031,0.77
dirichlet_10,61,4000,0.368980873301,0.913250368723,3.90151598672,0.956542797283,0.935
within_fire_permutation,62,4000,0.29630156474,0.864020167928,5.07420845184,0.816799549033,0.7725
dirichlet_1,62,4000,0.363297439281,0.904441101554,4.03081538446,0.779427529215,0.7675
dirichlet_10,62,4000,0.359671554226,0.90806626298,3.97292155334,0.97782933313,0.93
within_fire_permutation,63,4000,0.308478218054,0.862447174028,5.06935374559,0.833639667582,0.7975
dirichlet_1,63,4000,0.350090423176,0.903549325542,4.15748736583,0.767219822093,0.7625
dirichlet_10,63,4000,0.365577756067,0.911577261169,3.9592008097,0.978282377642,0.9175
within_fire_permutation,64,4000,0.303963344537,0.861441009556,5.09250824856,0.838064679737,0.8025
dirichlet_1,64,4000,0.351386458169,0.902524353824,4.16801529645,0.789854275953,0.7875
dirichlet_10,64,4000,0.35574690799,0.911420609809,4.013508806,0.967634146153,0.94
within_fire_permutation,65,4000,0.310428349207,0.863349502026,5.04359536006,0.87364723696,0.81
dirichlet_1,65,4000,0.353612768225,0.903175325366,4.09295872219,0.740504751048,0.7475
dirichlet_10,65,4000,0.353526780634,0.907490415216,4.02041494075,0.962167149779,0.91
within_fire_permutation,66,4000,0.30547463563,0.858476380262,5.09094628294,0.826494775688,0.7975
dirichlet_1,66,4000,0.357509515361,0.904344816215,4.10705667997,0.746776892006,0.745
dirichlet_10,66,4000,0.358360310762,0.911796558009,3.99017407051,0.970894399246,0.92
within_fire_permutation,67,4000,0.303347687859,0.861770382282,5.06008335495,0.838492185952,0.8
dirichlet_1,67,4000,0.350071811903,0.902438675024,4.16381865456,0.78953443323,0.78
dirichlet_10,67,4000,0.362333602757,0.912764237519,3.92075854144,0.965872622674,0.92
within_fire_permutation,68,4000,0.298954738769,0.859839678839,5.10495378821,0.873601882824,0.82
